ダウンロードした時刻：2019/01/25 16:25:46

,,,東京,東京,東京,東京,東京,東京
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2009,1,1,晴,8,1,快晴,8,1
2009,1,2,快晴,8,1,快晴,8,1
2009,1,3,快晴,8,1,快晴,8,1
2009,1,4,曇後一時晴,8,1,快晴,8,1
2009,1,5,曇時々晴,8,1,晴後一時曇,8,1
2009,1,6,晴時々曇,8,1,晴後一時薄曇,8,1
2009,1,7,曇一時晴,8,1,薄曇時々晴,8,1
2009,1,8,曇後雨,8,1,晴時々薄曇,8,1
2009,1,9,晴時々曇一時雨,8,1,雨、みぞれを伴う,8,1
2009,1,10,快晴,8,1,晴一時曇,8,1
2009,1,11,晴時々曇,8,1,快晴,8,1
2009,1,12,快晴,8,1,晴時々曇一時雨、あられを伴う,8,1
2009,1,13,快晴,8,1,晴,8,1
2009,1,14,快晴,8,1,快晴,8,1
2009,1,15,快晴,8,1,快晴,8,1
2009,1,16,快晴,8,1,快晴,8,1
2009,1,17,曇時々晴,8,1,快晴,8,1
2009,1,18,曇時々雨,8,1,曇一時雨,8,1
2009,1,19,晴後一時薄曇,8,1,晴一時曇,8,1
2009,1,20,曇,8,1,曇,8,1
2009,1,21,雨,8,1,曇後一時雨,8,1
2009,1,22,雨一時霧雨,8,1,霧雨時々雨,8,1
2009,1,23,曇,8,1,雨後曇一時晴,8,1
2009,1,24,曇時々雨後一時晴、みぞれを伴う,8,1,曇一時晴,8,1
2009,1,25,快晴,8,1,快晴,8,1
2009,1,26,薄曇一時晴,8,1,薄曇時々晴,8,1
2009,1,27,曇一時晴,8,1,晴後薄曇,8,1
2009,1,28,曇,8,1,曇後一時雨,8,1
2009,1,29,曇後一時雨,8,1,曇,8,1
2009,1,30,大雨一時曇,8,1,雨,8,1
2009,1,31,曇時々雨後晴,8,1,雨後時々曇,8,1
2009,2,1,快晴,8,1,快晴,8,1
2009,2,2,晴後薄曇,8,1,晴後曇,8,1
2009,2,3,曇,8,1,晴時々薄曇,8,1
2009,2,4,曇,8,1,曇,8,1
2009,2,5,曇後晴,8,1,曇後時々晴,8,1
2009,2,6,晴後一時曇,8,1,快晴,8,1
2009,2,7,晴一時薄曇,8,1,晴一時曇,8,1
2009,2,8,晴,8,1,快晴,8,1
2009,2,9,曇後一時晴,8,1,曇,8,1
2009,2,10,晴後曇,8,1,晴後一時曇,8,1
2009,2,11,晴一時雨,8,1,曇一時雨,8,1
2009,2,12,晴後薄曇,8,1,晴,8,1
2009,2,13,曇時々雨,8,1,曇,8,1
2009,2,14,晴時々曇,8,1,晴一時曇,8,1
2009,2,15,曇,8,1,曇一時晴,8,1
2009,2,16,曇後一時晴,8,1,曇時々晴,8,1
2009,2,17,晴,8,1,晴,8,1
2009,2,18,晴後一時曇,8,1,晴後一時曇,8,1
2009,2,19,曇後雨一時みぞれ,8,1,晴時々薄曇,8,1
2009,2,20,晴,8,1,雨一時みぞれ後晴,8,1
2009,2,21,快晴,8,1,快晴,8,1
2009,2,22,曇後雨,8,1,晴後薄曇,8,1
2009,2,23,晴後薄曇,8,1,雨後一時晴,8,1
2009,2,24,雨後曇,8,1,曇後雨,8,1
2009,2,25,曇,8,1,曇時々雨,8,1
2009,2,26,雨,8,1,雨時々曇,8,1
2009,2,27,霧雨時々雨一時曇,8,1,雨時々雪一時みぞれ,8,1
2009,2,28,曇,8,1,曇,8,1
2009,3,1,曇後晴,8,1,曇時々雨,8,1
2009,3,2,晴後曇,8,1,快晴,8,1
2009,3,3,雪時々みぞれ一時雨,8,1,曇後時々雨一時みぞれ,8,1
2009,3,4,雨一時曇後晴,8,1,曇後雨,8,1
2009,3,5,曇後時々雨,8,1,晴後薄曇,8,1
