ダウンロードした時刻：2019/01/25 16:25:22

,,,東京,東京,東京,東京,東京,東京
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2014,1,1,快晴,8,1,晴,8,1
2014,1,2,晴時々曇,8,1,快晴,8,1
2014,1,3,薄曇,8,1,曇後晴,8,1
2014,1,4,晴時々曇,8,1,薄曇後一時晴,8,1
2014,1,5,曇後晴,8,1,曇,8,1
2014,1,6,快晴,8,1,快晴,8,1
2014,1,7,曇後一時晴,8,1,晴後一時曇,8,1
2014,1,8,雨,8,1,曇時々晴一時雨,8,1
2014,1,9,曇一時雪,8,1,曇一時雨,8,1
2014,1,10,快晴,8,1,快晴,8,1
2014,1,11,晴一時曇,8,1,快晴,8,1
2014,1,12,晴,8,1,晴時々曇,8,1
2014,1,13,晴一時曇,8,1,快晴,8,1
2014,1,14,曇,8,1,晴一時曇,8,1
2014,1,15,晴,8,1,曇,8,1
2014,1,16,晴後一時曇,8,1,快晴,8,1
2014,1,17,晴後曇,8,1,晴一時曇,8,1
2014,1,18,曇時々晴後一時雪,8,1,晴時々曇,8,1
2014,1,19,晴時々薄曇,8,1,快晴,8,1
2014,1,20,薄曇後晴,8,1,晴一時曇,8,1
2014,1,21,雨時々曇一時みぞれ,8,1,晴後曇,8,1
2014,1,22,晴一時曇,8,1,晴後一時曇,8,1
2014,1,23,晴後曇,8,1,快晴,8,1
2014,1,24,晴後一時薄曇,8,1,晴後一時曇,8,1
2014,1,25,曇後一時雨,8,1,薄曇,8,1
2014,1,26,快晴,8,1,晴時々曇一時雨,8,1
2014,1,27,曇後晴,8,1,快晴,8,1
2014,1,28,晴一時曇,8,1,晴,8,1
2014,1,29,薄曇時々晴,8,1,快晴,8,1
2014,1,30,晴一時曇,8,1,曇時々雨,8,1
2014,1,31,晴後一時曇,8,1,快晴,8,1
2014,2,1,薄曇,8,1,晴後一時薄曇,8,1
2014,2,2,曇時々晴,8,1,曇一時雨,8,1
2014,2,3,曇後一時雨,8,1,薄曇時々晴,8,1
2014,2,4,晴一時雪,8,1,雨後みぞれ一時雪,8,1
2014,2,5,晴時々曇,8,1,晴,8,1
2014,2,6,曇,8,1,曇,8,1
2014,2,7,曇後雪,8,1,晴時々曇,8,1
2014,2,8,大雪後時々曇,8,1,大雪,8,1
2014,2,9,晴,8,1,曇後晴,8,1
2014,2,10,曇,8,1,曇,8,1
2014,2,11,曇一時みぞれ,8,1,曇一時雪、あられを伴う,8,1
2014,2,12,晴,8,1,曇後一時晴,8,1
2014,2,13,曇後一時雪,8,1,曇,8,1
2014,2,14,大雪後雨、雷・あられを伴う,8,1,雪,8,1
2014,2,15,曇後一時晴,8,1,大雨後曇,8,1
2014,2,16,快晴,8,1,晴一時曇,8,1
2014,2,17,晴後曇,8,1,晴,8,1
2014,2,18,曇一時晴,8,1,薄曇後晴,8,1
2014,2,19,薄曇,8,1,薄曇一時晴,8,1
2014,2,20,曇後晴,8,1,薄曇,8,1
2014,2,21,晴後一時曇,8,1,快晴,8,1
2014,2,22,晴後曇,8,1,晴一時曇,8,1
2014,2,23,曇,8,1,曇後一時晴,8,1
2014,2,24,曇後晴,8,1,曇後一時晴,8,1
2014,2,25,快晴,8,1,快晴,8,1
2014,2,26,晴後曇,8,1,晴,8,1
2014,2,27,雨後一時曇,8,1,雨後曇,8,1
2014,2,28,曇,8,1,曇時々晴,8,1
2014,3,1,雨一時曇,8,1,雨後曇,8,1
2014,3,2,雨時々曇,8,1,雨一時曇,8,1
2014,3,3,晴時々曇,8,1,曇一時雨後晴,8,1
2014,3,4,雨一時曇,8,1,晴後時々薄曇,8,1
2014,3,5,晴一時雨,8,1,雨,8,1
2014,3,6,曇一時晴,8,1,晴,8,1
