ダウンロードした時刻：2019/01/25 16:25:51

,,,東京,東京,東京,東京,東京,東京
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2008,1,1,快晴,8,1,晴後一時曇,8,1
2008,1,2,快晴,8,1,快晴,8,1
2008,1,3,快晴,8,1,晴,8,1
2008,1,4,晴後曇,8,1,快晴,8,1
2008,1,5,快晴,8,1,曇後晴,8,1
2008,1,6,晴後一時薄曇,8,1,快晴,8,1
2008,1,7,曇後晴,8,1,曇後一時雨,8,1
2008,1,8,曇,8,1,晴,8,1
2008,1,9,晴,8,1,曇後晴,8,1
2008,1,10,晴,8,1,晴,8,1
2008,1,11,曇,8,1,晴後曇,8,1
2008,1,12,曇,8,1,雨,8,1
2008,1,13,晴後曇,8,1,曇後晴,8,1
2008,1,14,曇後晴,8,1,曇,8,1
2008,1,15,曇一時晴,8,1,晴一時曇,8,1
2008,1,16,曇時々雪,8,1,晴一時曇,8,1
2008,1,17,曇,8,1,晴一時曇,8,1
2008,1,18,晴後薄曇,8,1,曇後一時晴,8,1
2008,1,19,晴一時曇,8,1,薄曇時々晴,8,1
2008,1,20,曇,8,1,曇一時晴,8,1
2008,1,21,曇後一時晴,8,1,曇,8,1
2008,1,22,曇,8,1,薄曇一時晴,8,1
2008,1,23,雨後曇,8,1,雪後雨、あられを伴う,8,1
2008,1,24,快晴,8,1,晴一時曇,8,1
2008,1,25,晴後一時曇,8,1,快晴,8,1
2008,1,26,晴,8,1,曇後晴,8,1
2008,1,27,快晴,8,1,晴,8,1
2008,1,28,雨時々曇、あられを伴う,8,1,晴後曇,8,1
2008,1,29,曇時々雨後一時晴,8,1,曇時々雨,8,1
2008,1,30,晴一時曇,8,1,晴後曇,8,1
2008,1,31,曇後晴,8,1,晴後一時曇,8,1
2008,2,1,晴後曇,8,1,快晴,8,1
2008,2,2,曇後雪、みぞれを伴う,8,1,曇,8,1
2008,2,3,雪後晴,8,1,雪,8,1
2008,2,4,曇一時雨後晴,8,1,晴,8,1
2008,2,5,晴後曇,8,1,晴,8,1
2008,2,6,みぞれ後雪一時曇,8,1,雪一時曇後みぞれ,8,1
2008,2,7,晴,8,1,晴一時曇,8,1
2008,2,8,晴後一時曇,8,1,晴,8,1
2008,2,9,みぞれ一時雪後曇,8,1,曇後一時雨、あられを伴う,8,1
2008,2,10,晴後一時薄曇,8,1,薄曇後晴,8,1
2008,2,11,晴後曇一時雨,8,1,薄曇後晴,8,1
2008,2,12,曇後一時晴,8,1,雨一時曇,8,1
2008,2,13,快晴,8,1,快晴,8,1
2008,2,14,快晴,8,1,快晴,8,1
2008,2,15,晴,8,1,晴,8,1
2008,2,16,晴,8,1,晴後一時曇,8,1
2008,2,17,快晴,8,1,晴時々曇,8,1
2008,2,18,晴,8,1,快晴,8,1
2008,2,19,快晴,8,1,晴,8,1
2008,2,20,快晴,8,1,快晴,8,1
2008,2,21,薄曇後一時晴,8,1,快晴,8,1
2008,2,22,薄曇後晴,8,1,晴後一時薄曇,8,1
2008,2,23,晴,8,1,晴後一時曇,8,1
2008,2,24,快晴,8,1,晴,8,1
2008,2,25,晴時々曇,8,1,快晴,8,1
2008,2,26,曇時々雨,8,1,曇一時晴,8,1
2008,2,27,晴一時曇,8,1,晴後一時曇,8,1
2008,2,28,晴時々薄曇,8,1,快晴,8,1
2008,2,29,晴,8,1,晴,8,1
2008,3,1,晴,8,1,晴時々曇,8,1
2008,3,2,晴,8,1,薄曇一時晴,8,1
2008,3,3,曇後晴,8,1,晴時々曇一時雨,8,1
2008,3,4,雨後曇,8,1,晴後一時曇,8,1
2008,3,5,快晴,8,1,曇後晴,8,1
2008,3,6,晴一時曇,8,1,晴,8,1
