ダウンロードした時刻：2019/01/25 16:25:36

,,,東京,東京,東京,東京,東京,東京
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2011,1,1,晴,8,1,晴後一時曇,8,1
2011,1,2,晴,8,1,薄曇後晴,8,1
2011,1,3,曇一時晴,8,1,晴後一時曇,8,1
2011,1,4,快晴,8,1,晴,8,1
2011,1,5,晴時々薄曇,8,1,晴後薄曇,8,1
2011,1,6,快晴,8,1,晴,8,1
2011,1,7,快晴,8,1,快晴,8,1
2011,1,8,快晴,8,1,快晴,8,1
2011,1,9,晴時々曇,8,1,快晴,8,1
2011,1,10,晴,8,1,快晴,8,1
2011,1,11,曇後一時晴,8,1,晴後曇,8,1
2011,1,12,快晴,8,1,快晴,8,1
2011,1,13,晴一時曇,8,1,快晴,8,1
2011,1,14,晴後薄曇,8,1,快晴,8,1
2011,1,15,曇時々晴,8,1,薄曇,8,1
2011,1,16,快晴,8,1,晴,8,1
2011,1,17,快晴,8,1,快晴,8,1
2011,1,18,晴,8,1,快晴,8,1
2011,1,19,晴一時薄曇,8,1,快晴,8,1
2011,1,20,曇時々晴,8,1,快晴,8,1
2011,1,21,曇時々晴,8,1,晴,8,1
2011,1,22,快晴,8,1,快晴,8,1
2011,1,23,曇時々雨,8,1,晴後薄曇,8,1
2011,1,24,雨一時みぞれ後晴、あられを伴う,8,1,曇後晴,8,1
2011,1,25,晴一時曇,8,1,快晴,8,1
2011,1,26,快晴,8,1,晴,8,1
2011,1,27,晴,8,1,晴,8,1
2011,1,28,晴後曇,8,1,晴,8,1
2011,1,29,晴,8,1,薄曇時々晴,8,1
2011,1,30,快晴,8,1,晴時々曇一時雪,8,1
2011,1,31,快晴,8,1,快晴,8,1
2011,2,1,快晴,8,1,快晴,8,1
2011,2,2,曇後晴,8,1,曇一時晴,8,1
2011,2,3,晴一時曇,8,1,快晴,8,1
2011,2,4,晴一時薄曇,8,1,快晴,8,1
2011,2,5,晴後一時曇,8,1,薄曇時々晴,8,1
2011,2,6,曇一時雨後晴,8,1,晴後曇,8,1
2011,2,7,晴後曇,8,1,快晴,8,1
2011,2,8,曇時々みぞれ一時雪、あられを伴う,8,1,曇,8,1
2011,2,9,晴後曇,8,1,みぞれ後晴,8,1
2011,2,10,曇後一時雪,8,1,曇時々晴,8,1
2011,2,11,みぞれ時々雪一時曇,8,1,雪,8,1
2011,2,12,晴一時雨,8,1,曇後みぞれ一時雪,8,1
2011,2,13,晴後曇,8,1,快晴,8,1
2011,2,14,雪時々雨一時みぞれ,8,1,曇時々雨一時雪,8,1
2011,2,15,快晴,8,1,晴一時雨,8,1
2011,2,16,晴後曇,8,1,快晴,8,1
2011,2,17,曇後大雨,8,1,曇,8,1
2011,2,18,晴後一時曇,8,1,雨一時曇後晴,8,1
2011,2,19,曇,8,1,曇,8,1
2011,2,20,雨時々曇,8,1,曇,8,1
2011,2,21,快晴,8,1,曇後晴,8,1
2011,2,22,快晴,8,1,晴,8,1
2011,2,23,曇一時晴,8,1,快晴,8,1
2011,2,24,晴一時曇,8,1,雨時々曇,8,1
2011,2,25,快晴,8,1,晴後一時薄曇,8,1
2011,2,26,晴後一時曇,8,1,快晴,8,1
2011,2,27,曇後雨,8,1,晴後一時曇,8,1
2011,2,28,曇一時雨,8,1,雨後一時みぞれ、あられを伴う,8,1
2011,3,1,雨後曇,8,1,曇時々雨,8,1
2011,3,2,快晴,8,1,曇一時雨,8,1
2011,3,3,曇後晴,8,1,晴後曇,8,1
2011,3,4,快晴,8,1,晴後一時曇,8,1
2011,3,5,晴時々薄曇,8,1,晴後一時薄曇,8,1
2011,3,6,薄曇後雨,8,1,薄曇時々晴,8,1
2011,3,7,雨後曇,8,1,雨時々みぞれ一時雪,8,1
