ダウンロードした時刻：2019/01/25 16:25:02

,,,東京,東京,東京,東京,東京,東京
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2017,1,1,晴時々曇,8,1,快晴,8,1
2017,1,2,快晴,8,1,晴一時曇,8,1
2017,1,3,晴時々曇,8,1,快晴,8,1
2017,1,4,快晴,8,1,快晴,8,1
2017,1,5,晴,8,1,快晴,8,1
2017,1,6,快晴,8,1,晴一時薄曇,8,1
2017,1,7,薄曇一時晴,8,1,晴,8,1
2017,1,8,雨,8,1,曇時々雨,8,1
2017,1,9,快晴,8,1,雨後晴,8,1
2017,1,10,快晴,8,1,快晴,8,1
2017,1,11,快晴,8,1,快晴,8,1
2017,1,12,快晴,8,1,晴,8,1
2017,1,13,晴,8,1,晴後一時曇,8,1
2017,1,14,晴,8,1,曇時々晴後一時雪,8,1
2017,1,15,快晴,8,1,晴,8,1
2017,1,16,晴一時曇,8,1,快晴,8,1
2017,1,17,晴,8,1,快晴,8,1
2017,1,18,曇,8,1,晴後時々薄曇,8,1
2017,1,19,曇一時晴,8,1,曇時々晴,8,1
2017,1,20,曇後時々晴,8,1,曇時々みぞれ一時雨,8,1
2017,1,21,曇時々晴,8,1,快晴,8,1
2017,1,22,快晴,8,1,快晴,8,1
2017,1,23,快晴,8,1,晴一時曇,8,1
2017,1,24,快晴,8,1,晴,8,1
2017,1,25,快晴,8,1,快晴,8,1
2017,1,26,晴時々薄曇,8,1,快晴,8,1
2017,1,27,晴,8,1,曇後晴,8,1
2017,1,28,曇時々晴,8,1,晴,8,1
2017,1,29,曇後時々雨,8,1,曇後一時晴,8,1
2017,1,30,晴,8,1,晴,8,1
2017,1,31,曇一時晴,8,1,快晴,8,1
2017,2,1,快晴,8,1,晴時々曇,8,1
2017,2,2,快晴,8,1,快晴,8,1
2017,2,3,快晴,8,1,快晴,8,1
2017,2,4,晴時々曇,8,1,快晴,8,1
2017,2,5,曇一時晴,8,1,曇時々雨一時晴,8,1
2017,2,6,快晴,8,1,晴時々曇,8,1
2017,2,7,晴一時薄曇,8,1,晴後一時薄曇,8,1
2017,2,8,曇後時々雪,8,1,晴後時々薄曇,8,1
2017,2,9,雨一時みぞれ後曇,8,1,みぞれ時々雨,8,1
2017,2,10,晴時々曇,8,1,曇時々晴一時雪,8,1
2017,2,11,快晴,8,1,晴後時々曇,8,1
2017,2,12,快晴,8,1,快晴,8,1
2017,2,13,晴一時曇,8,1,晴,8,1
2017,2,14,快晴,8,1,晴後一時曇,8,1
2017,2,15,快晴,8,1,快晴,8,1
2017,2,16,薄曇時々晴,8,1,快晴,8,1
2017,2,17,晴後時々薄曇,8,1,晴,8,1
2017,2,18,曇後晴一時雨、みぞれを伴う,8,1,曇,8,1
2017,2,19,晴後一時薄曇,8,1,晴,8,1
2017,2,20,晴一時雨,8,1,晴後雨一時曇,8,1
2017,2,21,晴,8,1,晴,8,1
2017,2,22,曇後一時雨,8,1,曇一時晴,8,1
2017,2,23,曇後一時雨、みぞれを伴う,8,1,雨後曇,8,1
2017,2,24,曇一時みぞれ,8,1,曇時々晴,8,1
2017,2,25,晴一時薄曇,8,1,晴一時曇,8,1
2017,2,26,曇時々晴,8,1,晴後薄曇,8,1
2017,2,27,曇,8,1,曇後時々晴,8,1
2017,2,28,晴,8,1,晴一時曇,8,1
2017,3,1,雨後時々曇,8,1,曇一時晴,8,1
2017,3,2,晴一時雨,8,1,曇後雨,8,1
2017,3,3,晴後時々曇,8,1,晴後一時曇,8,1
2017,3,4,晴一時薄曇,8,1,薄曇時々晴,8,1
2017,3,5,薄曇後一時晴,8,1,晴後薄曇,8,1
2017,3,6,晴時々曇,8,1,曇時々雨,8,1
2017,3,7,快晴,8,1,曇時々晴一時雨,8,1
