ダウンロードした時刻：2019/01/25 16:26:35

,,,東京,東京,東京,東京,東京,東京
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2000,1,1,晴時々曇,8,1,晴,8,1
2000,1,2,曇時々雨,8,1,曇時々晴,8,1
2000,1,3,快晴,8,1,晴一時曇,8,1
2000,1,4,晴後一時曇,8,1,快晴,8,1
2000,1,5,曇一時雨,8,1,曇,8,1
2000,1,6,雨時々曇,8,1,曇一時晴,8,1
2000,1,7,曇,8,1,曇一時雨,8,1
2000,1,8,快晴,8,1,曇後一時晴,8,1
2000,1,9,曇時々雨,8,1,曇一時晴,8,1
2000,1,10,晴後曇,8,1,雨後晴,8,1
2000,1,11,晴後曇,8,1,晴,8,1
2000,1,12,雨,8,1,曇後雨一時みぞれ,8,1
2000,1,13,曇時々雨,8,1,曇時々雨,8,1
2000,1,14,曇後一時雨,8,1,曇一時霧雨後晴,8,1
2000,1,15,曇時々雨,8,1,曇時々晴一時雨,8,1
2000,1,16,雨時々曇,8,1,曇一時晴,8,1
2000,1,17,曇時々雨後一時晴,8,1,雨時々曇一時みぞれ,8,1
2000,1,18,曇,8,1,晴,8,1
2000,1,19,曇時々晴,8,1,雨時々曇,8,1
2000,1,20,快晴,8,1,晴,8,1
2000,1,21,快晴,8,1,快晴,8,1
2000,1,22,曇一時雨,8,1,晴,8,1
2000,1,23,晴時々曇,8,1,晴後曇一時雨,8,1
2000,1,24,曇時々晴一時あられ,8,1,曇一時晴,8,1
2000,1,25,曇一時雪,8,1,曇時々雪、あられを伴う,8,1
2000,1,26,晴時々曇,8,1,晴,8,1
2000,1,27,晴,8,1,晴一時曇,8,1
2000,1,28,快晴,8,1,快晴,8,1
2000,1,29,薄曇,8,1,晴,8,1
2000,1,30,快晴,8,1,晴,8,1
2000,1,31,曇後晴,8,1,晴後曇,8,1
2000,2,1,晴後曇,8,1,快晴,8,1
2000,2,2,晴後一時曇,8,1,曇後晴,8,1
2000,2,3,晴後曇,8,1,曇後晴,8,1
2000,2,4,快晴,8,1,晴,8,1
2000,2,5,晴後曇,8,1,快晴,8,1
2000,2,6,曇一時雨後晴,8,1,曇,8,1
2000,2,7,曇時々晴,8,1,快晴,8,1
2000,2,8,曇一時雪、雷を伴う,8,1,晴一時曇,8,1
2000,2,9,快晴,8,1,晴,8,1
2000,2,10,快晴,8,1,快晴,8,1
2000,2,11,快晴,8,1,快晴,8,1
2000,2,12,快晴,8,1,晴,8,1
2000,2,13,曇後一時雨,8,1,晴時々曇,8,1
2000,2,14,晴,8,1,曇後一時晴,8,1
2000,2,15,晴一時曇,8,1,晴一時曇,8,1
2000,2,16,快晴,8,1,晴時々曇,8,1
2000,2,17,晴一時曇,8,1,晴後一時曇,8,1
2000,2,18,晴後薄曇,8,1,晴後一時曇,8,1
2000,2,19,曇後一時雨,8,1,曇,8,1
2000,2,20,曇,8,1,雨一時みぞれ、あられを伴う,8,1
2000,2,21,快晴,8,1,晴,8,1
2000,2,22,晴,8,1,晴,8,1
2000,2,23,曇時々雨,8,1,晴後一時曇,8,1
2000,2,24,快晴,8,1,晴後曇一時雪,8,1
2000,2,25,晴後曇,8,1,快晴,8,1
2000,2,26,曇一時雪後晴,8,1,曇後一時雪,8,1
2000,2,27,晴,8,1,晴一時曇,8,1
2000,2,28,快晴,8,1,晴,8,1
2000,2,29,晴,8,1,快晴,8,1
2000,3,1,快晴,8,1,快晴,8,1
2000,3,2,晴,8,1,快晴,8,1
2000,3,3,薄曇,8,1,晴,8,1
2000,3,4,雨時々曇,8,1,曇時々雨,8,1
2000,3,5,曇時々雨,8,1,曇一時雨,8,1
2000,3,6,曇後晴,8,1,曇時々雨,8,1
2000,3,7,晴一時曇,8,1,快晴,8,1
