ダウンロードした時刻：2019/01/25 16:26:14

,,,東京,東京,東京,東京,東京,東京
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2004,1,1,晴一時曇,8,1,曇時々晴,8,1
2004,1,2,晴,8,1,晴時々薄曇,8,1
2004,1,3,晴,8,1,晴,8,1
2004,1,4,晴時々曇,8,1,晴後曇,8,1
2004,1,5,晴一時曇,8,1,晴,8,1
2004,1,6,曇時々晴,8,1,晴,8,1
2004,1,7,晴,8,1,薄曇後晴,8,1
2004,1,8,快晴,8,1,快晴,8,1
2004,1,9,晴,8,1,晴,8,1
2004,1,10,快晴,8,1,晴,8,1
2004,1,11,晴,8,1,晴,8,1
2004,1,12,曇後一時みぞれ,8,1,曇時々晴,8,1
2004,1,13,晴,8,1,曇一時雨後晴,8,1
2004,1,14,快晴,8,1,快晴,8,1
2004,1,15,晴,8,1,快晴,8,1
2004,1,16,晴後曇,8,1,晴,8,1
2004,1,17,曇時々雪,8,1,曇時々雪、みぞれを伴う,8,1
2004,1,18,曇後一時みぞれ,8,1,晴,8,1
2004,1,19,快晴,8,1,雨後晴、みぞれを伴う,8,1
2004,1,20,薄曇時々晴,8,1,快晴,8,1
2004,1,21,晴,8,1,曇,8,1
2004,1,22,快晴,8,1,晴後曇,8,1
2004,1,23,晴後一時薄曇,8,1,晴,8,1
2004,1,24,曇後晴,8,1,曇,8,1
2004,1,25,晴,8,1,晴後一時曇,8,1
2004,1,26,薄曇,8,1,晴,8,1
2004,1,27,晴,8,1,薄曇,8,1
2004,1,28,快晴,8,1,快晴,8,1
2004,1,29,晴後曇,8,1,晴,8,1
2004,1,30,曇後晴,8,1,曇後晴,8,1
2004,1,31,晴後一時曇,8,1,快晴,8,1
2004,2,1,曇,8,1,曇時々晴,8,1
2004,2,2,曇一時雨,8,1,雨一時曇,8,1
2004,2,3,曇時々雨,8,1,曇後一時雨,8,1
2004,2,4,快晴,8,1,晴,8,1
2004,2,5,晴,8,1,晴,8,1
2004,2,6,快晴,8,1,晴,8,1
2004,2,7,快晴,8,1,晴後一時曇,8,1
2004,2,8,快晴,8,1,快晴,8,1
2004,2,9,曇後晴,8,1,晴後曇,8,1
2004,2,10,晴後一時曇,8,1,晴,8,1
2004,2,11,晴,8,1,晴一時曇,8,1
2004,2,12,晴,8,1,晴,8,1
2004,2,13,晴一時雨,8,1,晴後薄曇,8,1
2004,2,14,晴一時雨,8,1,晴,8,1
2004,2,15,快晴,8,1,晴,8,1
2004,2,16,晴後一時曇,8,1,快晴,8,1
2004,2,17,快晴,8,1,快晴,8,1
2004,2,18,快晴,8,1,快晴,8,1
2004,2,19,晴,8,1,晴,8,1
2004,2,20,曇時々晴,8,1,晴,8,1
2004,2,21,晴,8,1,晴後薄曇,8,1
2004,2,22,雨一時曇後一時晴,8,1,晴後一時曇,8,1
2004,2,23,快晴,8,1,晴,8,1
2004,2,24,曇,8,1,晴,8,1
2004,2,25,晴,8,1,薄曇,8,1
2004,2,26,快晴,8,1,晴,8,1
2004,2,27,晴後一時曇,8,1,晴後一時曇,8,1
2004,2,28,晴後一時曇,8,1,晴後薄曇,8,1
2004,2,29,晴後曇,8,1,曇後一時晴,8,1
2004,3,1,曇,8,1,曇時々雨一時みぞれ,8,1
2004,3,2,曇,8,1,曇後一時晴,8,1
2004,3,3,曇,8,1,晴後曇,8,1
2004,3,4,晴,8,1,曇時々晴後一時雨,8,1
2004,3,5,晴後曇一時雨,8,1,晴,8,1
2004,3,6,晴,8,1,晴時々曇一時雨,8,1
2004,3,7,快晴,8,1,晴後一時曇,8,1
2004,3,8,晴後薄曇,8,1,快晴,8,1
2004,3,9,快晴,8,1,晴,8,1
2004,3,10,晴後曇,8,1,快晴,8,1
