ダウンロードした時刻：2019/01/25 16:24:30

,,,東京,東京,東京,東京,東京,東京
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2018,4,21,快晴,8,1,快晴,8,1
2018,4,22,晴時々曇,8,1,晴一時薄曇,8,1
2018,4,23,曇,8,1,曇,8,1
2018,4,24,雨一時曇,8,1,曇後雨,8,1
2018,4,25,曇時々雨一時晴,8,1,大雨後薄曇一時晴,8,1
2018,4,26,薄曇,8,1,晴後薄曇,8,1
2018,4,27,晴,8,1,曇,8,1
2018,4,28,快晴,8,1,快晴,8,1
2018,4,29,快晴,8,1,快晴,8,1
2018,4,30,晴一時曇,8,1,晴時々薄曇,8,1
2018,5,1,薄曇一時晴,8,1,晴後薄曇,8,1
2018,5,2,雨一時曇,8,1,曇後一時雨,8,1
2018,5,3,曇後一時晴,8,1,曇一時雨,8,1
2018,5,4,晴,8,1,晴,8,1
2018,5,5,薄曇時々晴,8,1,快晴,8,1
2018,5,6,曇時々雨,8,1,薄曇時々晴,8,1
2018,5,7,雨一時曇,8,1,曇後雨,8,1
2018,5,8,大雨,8,1,曇後一時雨,8,1
2018,5,9,曇一時雨,8,1,雨後曇,8,1
2018,5,10,晴後一時薄曇,8,1,曇時々雨後晴、雷を伴う,8,1
2018,5,11,薄曇後晴,8,1,晴時々薄曇,8,1
2018,5,12,薄曇,8,1,薄曇時々晴,8,1
2018,5,13,雨後曇,8,1,曇後雨,8,1
2018,5,14,快晴,8,1,晴一時曇,8,1
2018,5,15,晴,8,1,快晴,8,1
2018,5,16,薄曇,8,1,薄曇時々晴,8,1
2018,5,17,晴時々曇,8,1,曇,8,1
2018,5,18,曇後時々雨,8,1,晴時々曇,8,1
2018,5,19,晴,8,1,曇時々晴,8,1
2018,5,20,薄曇,8,1,晴,8,1
2018,5,21,薄曇後晴,8,1,薄曇,8,1
2018,5,22,晴後薄曇,8,1,快晴,8,1
2018,5,23,雨後時々曇,8,1,曇後雨,8,1
2018,5,24,晴一時曇,8,1,晴時々曇,8,1
2018,5,25,薄曇一時晴,8,1,薄曇一時晴,8,1
2018,5,26,曇時々晴,8,1,薄曇,8,1
2018,5,27,曇,8,1,晴一時薄曇,8,1
2018,5,28,曇一時晴,8,1,曇,8,1
2018,5,29,曇,8,1,曇,8,1
2018,5,30,雨後曇,8,1,曇後雨,8,1
2018,5,31,曇後一時晴,8,1,曇後時々雨,8,1
2018,6,1,晴時々曇一時雨,8,1,晴,8,1
2018,6,2,快晴,8,1,晴,8,1
2018,6,3,薄曇時々晴,8,1,晴,8,1
2018,6,4,晴,8,1,晴,8,1
2018,6,5,曇時々雨,8,1,曇一時晴,8,1
2018,6,6,雨後時々曇,8,1,雨,8,1
2018,6,7,晴時々薄曇,8,1,曇後晴,8,1
2018,6,8,曇時々雨、雷を伴う,8,1,曇時々晴,8,1
2018,6,9,曇後一時雨,8,1,薄曇一時晴,8,1
2018,6,10,大雨,8,1,雨一時曇,8,1
2018,6,11,曇一時雨,8,1,雨,8,1
2018,6,12,曇,8,1,曇,8,1
2018,6,13,晴時々曇,8,1,曇一時晴,8,1
2018,6,14,曇,8,1,曇,8,1
2018,6,15,雨一時曇,8,1,雨一時曇,8,1
2018,6,16,曇,8,1,曇一時雨,8,1
2018,6,17,曇,8,1,曇,8,1
2018,6,18,曇時々雨,8,1,曇時々雨,8,1
2018,6,19,曇後雨,8,1,曇時々晴,8,1
2018,6,20,雨時々曇,8,1,雨,8,1
2018,6,21,晴一時曇,8,1,曇,8,1
2018,6,22,薄曇時々晴,8,1,薄曇一時晴,8,1
2018,6,23,曇時々雨,8,1,曇後雨,8,1
2018,6,24,薄曇,8,1,雨後薄曇一時晴,8,1
2018,6,25,晴後曇,8,1,快晴,8,1
2018,6,26,曇,8,1,晴後薄曇,8,1
2018,6,27,曇一時晴,8,1,曇後晴,8,1
2018,6,28,晴,8,1,曇一時雨,8,1
2018,6,29,晴,8,1,晴,8,1
2018,6,30,晴時々薄曇,8,1,晴後薄曇,8,1
2018,7,1,快晴,8,1,晴,8,1
2018,7,2,晴,8,1,快晴,8,1
2018,7,3,薄曇後一時雨,8,1,薄曇,8,1
2018,7,4,曇時々雨,8,1,曇一時雨,8,1
2018,7,5,雨時々曇,8,1,雨後一時曇,8,1
2018,7,6,雨時々曇,8,1,雨後時々曇,8,1
2018,7,7,薄曇,8,1,曇,8,1
2018,7,8,晴時々薄曇,8,1,薄曇,8,1
2018,7,9,晴時々曇,8,1,晴時々曇一時雨,8,1
2018,7,10,曇時々晴,8,1,晴時々薄曇,8,1
2018,7,11,曇時々雨,8,1,薄曇,8,1
2018,7,12,曇,8,1,曇一時雨後一時晴,8,1
2018,7,13,晴時々薄曇,8,1,薄曇,8,1
2018,7,14,晴一時曇,8,1,晴時々薄曇,8,1
2018,7,15,晴後薄曇,8,1,晴,8,1
2018,7,16,薄曇,8,1,薄曇,8,1
2018,7,17,薄曇時々晴,8,1,薄曇後一時晴,8,1
2018,7,18,晴,8,1,晴,8,1
2018,7,19,晴一時曇,8,1,晴後薄曇,8,1
2018,7,20,快晴,8,1,晴,8,1
2018,7,21,薄曇後晴,8,1,晴後薄曇,8,1
2018,7,22,薄曇,8,1,薄曇時々晴,8,1
2018,7,23,晴時々曇,8,1,薄曇後一時晴,8,1
2018,7,24,曇一時雨、雷を伴う,8,1,晴一時曇,8,1
2018,7,25,曇,8,1,曇,8,1
2018,7,26,曇時々晴,8,1,曇時々晴,8,1
2018,7,27,曇後雨,8,1,晴後曇,8,1
2018,7,28,雨一時曇,8,1,大雨一時曇,8,1
2018,7,29,晴後一時曇,8,1,晴時々曇,8,1
2018,7,30,曇後晴,8,1,曇一時晴,8,1
2018,7,31,快晴,8,1,晴一時曇,8,1
2018,8,1,晴,8,1,晴,8,1
2018,8,2,薄曇後晴,8,1,晴後薄曇,8,1
2018,8,3,晴時々曇、雷を伴う,8,1,晴,8,1
2018,8,4,晴後曇,8,1,晴一時薄曇,8,1
2018,8,5,晴一時曇,8,1,晴,8,1
2018,8,6,曇後雨,8,1,曇時々晴,8,1
2018,8,7,曇時々雨,8,1,雨一時曇,8,1
2018,8,8,雨,8,1,雨,8,1
2018,8,9,晴,8,1,曇一時晴,8,1
2018,8,10,曇時々晴,8,1,晴一時薄曇,8,1
2018,8,11,曇後一時雨、雷を伴う,8,1,曇時々晴一時雨、雷を伴う,8,1
2018,8,12,曇一時雨,8,1,曇,8,1
2018,8,13,晴時々曇,8,1,晴一時雨、雷を伴う,8,1
2018,8,14,晴時々薄曇,8,1,薄曇時々晴,8,1
2018,8,15,薄曇後晴,8,1,薄曇,8,1
2018,8,16,曇一時雨,8,1,薄曇,8,1
2018,8,17,晴後一時薄曇,8,1,晴,8,1
2018,8,18,薄曇後晴,8,1,薄曇一時晴,8,1
2018,8,19,薄曇,8,1,薄曇一時晴,8,1
2018,8,20,曇,8,1,曇一時雨,8,1
2018,8,21,晴一時曇,8,1,曇後晴,8,1
2018,8,22,晴,8,1,晴,8,1
2018,8,23,曇後一時雨,8,1,晴後曇,8,1
2018,8,24,薄曇,8,1,雨後曇,8,1
2018,8,25,晴,8,1,晴,8,1
2018,8,26,晴,8,1,晴,8,1
2018,8,27,曇時々雨、雷を伴う,8,1,晴後一時曇,8,1
2018,8,28,曇,8,1,曇,8,1
2018,8,29,曇一時雨,8,1,曇,8,1
2018,8,30,薄曇時々晴,8,1,晴後薄曇,8,1
2018,8,31,曇時々晴一時雨,8,1,薄曇時々晴一時雨、雷を伴う,8,1
2018,9,1,曇時々雨,8,1,曇一時雨,8,1
2018,9,2,曇一時雨,8,1,雨後曇,8,1
2018,9,3,曇時々晴一時雨,8,1,雨後曇一時晴,8,1
2018,9,4,曇一時雨、雷を伴う,8,1,曇時々雨,8,1
2018,9,5,曇時々晴,8,1,晴一時曇,8,1
2018,9,6,曇後時々雨,8,1,曇一時晴,8,1
2018,9,7,晴時々薄曇,8,1,曇一時雨,8,1
2018,9,8,曇時々晴,8,1,晴一時薄曇,8,1
2018,9,9,曇一時晴,8,1,晴一時曇,8,1
2018,9,10,大雨後一時曇,8,1,曇時々雨,8,1
2018,9,11,曇一時晴,8,1,曇,8,1
2018,9,12,曇一時雨後時々晴,8,1,曇,8,1
2018,9,13,雨一時曇,8,1,曇一時晴,8,1
2018,9,14,雨時々曇,8,1,曇一時雨,8,1
2018,9,15,曇,8,1,雨一時曇,8,1
2018,9,16,晴後一時曇,8,1,曇後晴,8,1
2018,9,17,雨後曇、雷を伴う,8,1,曇一時晴後一時雨,8,1
2018,9,18,大雨後曇,8,1,晴時々曇,8,1
2018,9,19,曇時々晴,8,1,晴,8,1
2018,9,20,雨,8,1,雨時々曇,8,1
2018,9,21,曇一時雨,8,1,雨,8,1
2018,9,22,曇一時晴,8,1,曇一時雨,8,1
2018,9,23,曇,8,1,曇一時晴,8,1
2018,9,24,曇一時晴,8,1,曇一時雨,8,1
2018,9,25,雨一時曇,8,1,雨時々曇,8,1
2018,9,26,大雨,8,1,曇時々雨,8,1
2018,9,27,晴一時曇,8,1,雨時々曇,8,1
2018,9,28,晴後時々曇,8,1,快晴,8,1
2018,9,29,雨一時曇,8,1,雨一時曇,8,1
2018,9,30,曇時々暴風雨,8,1,雨時々曇,8,1
2018,10,1,快晴,8,1,晴一時薄曇,8,1
2018,10,2,晴時々曇,8,1,晴,8,1
2018,10,3,曇,8,1,曇,8,1
2018,10,4,曇時々雨,8,1,曇時々雨,8,1
2018,10,5,雨後曇,8,1,雨,8,1
2018,10,6,晴一時曇,8,1,晴一時曇,8,1
2018,10,7,曇一時晴,8,1,晴,8,1
2018,10,8,晴一時曇,8,1,曇後一時晴,8,1
2018,10,9,晴後一時曇,8,1,晴一時曇,8,1
2018,10,10,曇時々雨、雷を伴う,8,1,薄曇時々晴,8,1
2018,10,11,曇一時雨,8,1,曇,8,1
2018,10,12,曇,8,1,曇一時雨,8,1
2018,10,13,曇後雨,8,1,曇,8,1
2018,10,14,曇一時晴,8,1,曇一時雨,8,1
2018,10,15,曇時々雨後一時晴,8,1,曇後一時雨,8,1
2018,10,16,曇後雨,8,1,薄曇,8,1
2018,10,17,曇時々晴,8,1,曇時々晴,8,1
