ダウンロードした時刻：2019/01/25 16:25:57

,,,東京,東京,東京,東京,東京,東京
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2007,1,1,曇,8,1,晴時々曇,8,1
2007,1,2,曇後雨,8,1,曇,8,1
2007,1,3,曇,8,1,曇時々晴,8,1
2007,1,4,薄曇後晴,8,1,薄曇時々晴,8,1
2007,1,5,曇後一時雨,8,1,晴,8,1
2007,1,6,晴,8,1,大雨,8,1
2007,1,7,快晴,8,1,晴後一時曇,8,1
2007,1,8,晴一時曇,8,1,晴,8,1
2007,1,9,曇時々晴,8,1,晴,8,1
2007,1,10,快晴,8,1,快晴,8,1
2007,1,11,曇一時晴,8,1,晴後曇,8,1
2007,1,12,曇後晴,8,1,曇後晴,8,1
2007,1,13,曇後晴,8,1,晴時々薄曇,8,1
2007,1,14,晴,8,1,晴,8,1
2007,1,15,曇時々晴,8,1,晴,8,1
2007,1,16,曇,8,1,晴一時曇,8,1
2007,1,17,雨後時々曇,8,1,曇時々雨,8,1
2007,1,18,晴,8,1,曇後晴,8,1
2007,1,19,晴一時曇,8,1,晴後時々曇,8,1
2007,1,20,雨後曇,8,1,曇後雨、あられを伴う,8,1
2007,1,21,雨一時曇,8,1,曇,8,1
2007,1,22,晴,8,1,雨後晴,8,1
2007,1,23,曇,8,1,晴後薄曇,8,1
2007,1,24,晴,8,1,曇後晴,8,1
2007,1,25,晴後一時曇,8,1,快晴,8,1
2007,1,26,曇一時雨,8,1,晴一時曇,8,1
2007,1,27,晴,8,1,晴,8,1
2007,1,28,曇,8,1,曇一時晴,8,1
2007,1,29,快晴,8,1,曇一時雨後晴,8,1
2007,1,30,晴後一時曇,8,1,快晴,8,1
2007,1,31,快晴,8,1,快晴,8,1
2007,2,1,快晴,8,1,晴,8,1
2007,2,2,快晴,8,1,快晴,8,1
2007,2,3,快晴,8,1,快晴,8,1
2007,2,4,快晴,8,1,快晴,8,1
2007,2,5,晴時々薄曇,8,1,晴,8,1
2007,2,6,快晴,8,1,薄曇後晴,8,1
2007,2,7,快晴,8,1,曇時々晴,8,1
2007,2,8,晴,8,1,晴,8,1
2007,2,9,雨後曇,8,1,晴後曇,8,1
2007,2,10,曇時々雨後一時晴,8,1,曇,8,1
2007,2,11,快晴,8,1,快晴,8,1
2007,2,12,快晴,8,1,快晴,8,1
2007,2,13,曇後一時雨,8,1,晴,8,1
2007,2,14,晴一時雨,8,1,雨一時曇,8,1
2007,2,15,快晴,8,1,晴,8,1
2007,2,16,晴,8,1,晴,8,1
2007,2,17,雨,8,1,曇一時晴,8,1
2007,2,18,晴後曇,8,1,雨後晴,8,1
2007,2,19,曇,8,1,晴,8,1
2007,2,20,曇一時雨,8,1,雨時々曇,8,1
2007,2,21,快晴,8,1,晴一時曇,8,1
2007,2,22,曇時々雨,8,1,晴時々曇,8,1
2007,2,23,晴,8,1,雨後一時曇,8,1
2007,2,24,晴一時薄曇,8,1,晴後時々薄曇,8,1
2007,2,25,薄曇後晴,8,1,薄曇一時晴,8,1
2007,2,26,快晴,8,1,快晴,8,1
2007,2,27,曇後一時雨,8,1,晴後一時曇,8,1
2007,2,28,快晴,8,1,晴,8,1
2007,3,1,快晴,8,1,快晴,8,1
2007,3,2,曇,8,1,薄曇一時晴,8,1
2007,3,3,晴時々曇,8,1,曇後一時晴,8,1
2007,3,4,曇,8,1,薄曇後晴,8,1
2007,3,5,晴一時雨,8,1,曇後一時雨,8,1
2007,3,6,曇時々晴一時雨,8,1,曇時々晴後一時雨、雷を伴う,8,1
2007,3,7,曇後晴,8,1,晴一時曇,8,1
2007,3,8,快晴,8,1,晴,8,1
2007,3,9,曇後一時晴,8,1,曇,8,1
2007,3,10,晴後曇一時雨,8,1,晴時々薄曇,8,1
