ダウンロードした時刻：2019/01/25 16:25:41

,,,東京,東京,東京,東京,東京,東京
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2010,1,1,快晴,8,1,快晴,8,1
2010,1,2,快晴,8,1,快晴,8,1
2010,1,3,晴一時曇,8,1,曇一時晴,8,1
2010,1,4,晴時々曇一時雨,8,1,晴一時曇,8,1
2010,1,5,快晴,8,1,晴一時曇,8,1
2010,1,6,快晴,8,1,晴,8,1
2010,1,7,曇後晴,8,1,晴後一時曇,8,1
2010,1,8,晴一時曇,8,1,晴,8,1
2010,1,9,晴時々曇,8,1,快晴,8,1
2010,1,10,晴後曇,8,1,快晴,8,1
2010,1,11,曇一時晴,8,1,曇後一時晴,8,1
2010,1,12,曇一時雨,8,1,曇後雨一時みぞれ,8,1
2010,1,13,快晴,8,1,晴一時曇,8,1
2010,1,14,快晴,8,1,快晴,8,1
2010,1,15,快晴,8,1,快晴,8,1
2010,1,16,快晴,8,1,快晴,8,1
2010,1,17,晴時々曇,8,1,快晴,8,1
2010,1,18,晴,8,1,晴一時曇,8,1
2010,1,19,晴時々曇,8,1,快晴,8,1
2010,1,20,曇,8,1,晴後薄曇,8,1
2010,1,21,晴時々曇,8,1,曇,8,1
2010,1,22,快晴,8,1,晴後時々曇,8,1
2010,1,23,晴一時曇,8,1,晴一時薄曇,8,1
2010,1,24,快晴,8,1,快晴,8,1
2010,1,25,晴一時薄曇,8,1,晴,8,1
2010,1,26,快晴,8,1,快晴,8,1
2010,1,27,晴後曇,8,1,晴後一時薄曇,8,1
2010,1,28,薄曇後晴,8,1,曇後一時雨,8,1
2010,1,29,晴時々曇,8,1,晴後時々曇,8,1
2010,1,30,晴時々薄曇,8,1,晴一時曇,8,1
2010,1,31,曇後晴,8,1,晴時々薄曇,8,1
2010,2,1,雪時々みぞれ後曇,8,1,曇後雨,8,1
2010,2,2,薄曇一時晴,8,1,曇時々晴,8,1
2010,2,3,曇一時雪後晴,8,1,晴時々曇,8,1
2010,2,4,晴,8,1,晴,8,1
2010,2,5,晴,8,1,晴,8,1
2010,2,6,快晴,8,1,晴,8,1
2010,2,7,晴一時薄曇,8,1,快晴,8,1
2010,2,8,薄曇後晴,8,1,晴時々薄曇,8,1
2010,2,9,曇一時晴,8,1,晴後薄曇,8,1
2010,2,10,雨後一時曇,8,1,曇後一時雨,8,1
2010,2,11,雨時々みぞれ一時雪、あられを伴う,8,1,雨時々曇,8,1
2010,2,12,曇後一時雪,8,1,曇時々雪一時雨,8,1
2010,2,13,雪後曇,8,1,雪後みぞれ,8,1
2010,2,14,曇,8,1,晴後曇,8,1
2010,2,15,雨後一時曇,8,1,雨一時曇,8,1
2010,2,16,雪時々曇一時みぞれ,8,1,曇時々雨一時雪,8,1
2010,2,17,曇時々雪一時みぞれ,8,1,曇,8,1
2010,2,18,晴一時曇,8,1,曇一時雪,8,1
2010,2,19,晴後一時曇,8,1,曇後時々晴,8,1
2010,2,20,晴,8,1,快晴,8,1
2010,2,21,曇一時晴,8,1,晴後時々曇,8,1
2010,2,22,晴後薄曇,8,1,曇後一時晴,8,1
2010,2,23,晴一時曇,8,1,薄曇後晴,8,1
2010,2,24,快晴,8,1,晴一時曇,8,1
2010,2,25,曇,8,1,晴時々薄曇,8,1
2010,2,26,雨,8,1,曇後雨,8,1
2010,2,27,雨時々曇,8,1,雨時々曇,8,1
2010,2,28,曇一時晴,8,1,雨一時みぞれ後晴,8,1
2010,3,1,雨時々曇,8,1,曇,8,1
2010,3,2,曇,8,1,曇,8,1
2010,3,3,曇一時晴,8,1,晴後時々曇,8,1
2010,3,4,雨後一時晴,8,1,曇後一時雨,8,1
2010,3,5,曇,8,1,晴後一時薄曇,8,1
