ダウンロードした時刻：2019/01/25 16:25:32

,,,東京,東京,東京,東京,東京,東京
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2012,1,1,晴一時雨,8,1,曇,8,1
2012,1,2,快晴,8,1,曇後晴,8,1
2012,1,3,曇後晴,8,1,晴時々曇,8,1
2012,1,4,晴一時曇,8,1,晴後一時曇,8,1
2012,1,5,晴,8,1,快晴,8,1
2012,1,6,晴一時曇,8,1,晴一時曇,8,1
2012,1,7,晴後一時曇,8,1,快晴,8,1
2012,1,8,曇後時々晴,8,1,晴一時曇,8,1
2012,1,9,快晴,8,1,快晴,8,1
2012,1,10,曇後晴,8,1,薄曇一時晴,8,1
2012,1,11,晴,8,1,曇時々晴,8,1
2012,1,12,晴,8,1,晴後時々曇,8,1
2012,1,13,快晴,8,1,晴,8,1
2012,1,14,晴後薄曇,8,1,晴,8,1
2012,1,15,曇,8,1,曇,8,1
2012,1,16,曇,8,1,曇,8,1
2012,1,17,晴,8,1,曇後晴,8,1
2012,1,18,薄曇後晴,8,1,晴後薄曇,8,1
2012,1,19,雨時々曇一時雪,8,1,曇,8,1
2012,1,20,雨時々曇,8,1,みぞれ後一時雨,8,1
2012,1,21,雨後一時曇,8,1,雨時々みぞれ,8,1
2012,1,22,晴後一時曇,8,1,雨後曇,8,1
2012,1,23,雪時々雨後曇、雷を伴う,8,1,雨時々曇,8,1
2012,1,24,曇後晴,8,1,晴後一時曇,8,1
2012,1,25,晴一時曇,8,1,晴後一時曇,8,1
2012,1,26,快晴,8,1,快晴,8,1
2012,1,27,晴,8,1,晴,8,1
2012,1,28,曇一時晴,8,1,晴,8,1
2012,1,29,快晴,8,1,晴一時曇,8,1
2012,1,30,晴,8,1,晴,8,1
2012,1,31,晴,8,1,晴,8,1
2012,2,1,快晴,8,1,晴後一時曇,8,1
2012,2,2,快晴,8,1,晴,8,1
2012,2,3,快晴,8,1,快晴,8,1
2012,2,4,快晴,8,1,快晴,8,1
2012,2,5,曇一時晴,8,1,晴時々曇,8,1
2012,2,6,曇後雨,8,1,雨時々曇,8,1
2012,2,7,曇,8,1,雨後曇,8,1
2012,2,8,曇一時雪後晴,8,1,曇,8,1
2012,2,9,薄曇時々晴,8,1,晴,8,1
2012,2,10,晴,8,1,晴,8,1
2012,2,11,曇後晴,8,1,晴後一時曇,8,1
2012,2,12,晴後薄曇,8,1,快晴,8,1
2012,2,13,曇一時雨,8,1,曇,8,1
2012,2,14,曇一時雨,8,1,雨一時曇,8,1
2012,2,15,曇,8,1,曇,8,1
2012,2,16,曇時々雪一時雨、あられを伴う,8,1,曇後時々雨、あられを伴う,8,1
2012,2,17,雪後時々曇,8,1,晴時々曇,8,1
2012,2,18,晴,8,1,快晴,8,1
2012,2,19,快晴,8,1,晴,8,1
2012,2,20,快晴,8,1,晴,8,1
2012,2,21,曇,8,1,晴,8,1
2012,2,22,曇後雨,8,1,晴後曇,8,1
2012,2,23,薄曇,8,1,雨後晴,8,1
2012,2,24,曇後雨,8,1,晴時々曇,8,1
2012,2,25,曇,8,1,雨後曇,8,1
2012,2,26,曇,8,1,曇,8,1
2012,2,27,曇,8,1,晴後一時曇,8,1
2012,2,28,曇後雪,8,1,薄曇一時晴,8,1
2012,2,29,曇後晴,8,1,雪後時々雨一時曇,8,1
2012,3,1,曇,8,1,曇時々晴,8,1
2012,3,2,雨一時霧雨後曇,8,1,雨一時曇,8,1
2012,3,3,曇,8,1,晴時々曇,8,1
2012,3,4,雨,8,1,曇,8,1
2012,3,5,曇,8,1,大雨後一時曇,8,1
2012,3,6,曇一時霧雨,8,1,曇一時雨後晴,8,1
2012,3,7,曇後時々雨,8,1,曇,8,1
2012,3,8,曇後雨,8,1,雨後曇,8,1
