ダウンロードした時刻：2019/01/25 17:08:42

,,,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2009,1,1,雨時々曇一時晴,8,1,曇時々雨一時晴,8,1
2009,1,2,曇一時雨,8,1,曇時々雨一時晴,8,1
2009,1,3,曇時々晴,8,1,曇一時晴,8,1
2009,1,4,曇時々雨,8,1,曇時々晴,8,1
2009,1,5,晴一時曇,8,1,曇,8,1
2009,1,6,晴一時曇,8,1,晴,8,1
2009,1,7,曇時々晴一時雨,8,1,晴,8,1
2009,1,8,曇時々晴一時雨,8,1,晴,8,1
2009,1,9,曇時々雨,8,1,雨一時曇,8,1
2009,1,10,曇時々雨,8,1,曇時々雨一時晴,8,1
2009,1,11,晴後一時雨,8,1,曇時々雨一時晴,8,1
2009,1,12,晴時々曇一時雨,8,1,晴後時々曇,8,1
2009,1,13,晴時々雨一時曇,8,1,晴一時雨,8,1
2009,1,14,晴一時曇,8,1,晴時々雨,8,1
2009,1,15,晴一時曇,8,1,晴時々曇,8,1
2009,1,16,晴後一時曇,8,1,晴,8,1
2009,1,17,晴,8,1,晴,8,1
2009,1,18,曇時々雨一時晴,8,1,晴後曇,8,1
2009,1,19,晴時々曇,8,1,晴時々曇,8,1
2009,1,20,晴,8,1,晴,8,1
2009,1,21,晴一時曇,8,1,晴後時々曇,8,1
2009,1,22,晴時々曇,8,1,雨時々曇,8,1
2009,1,23,曇時々雨,8,1,晴時々曇,8,1
2009,1,24,晴時々曇,8,1,曇時々晴,8,1
2009,1,25,晴,8,1,晴時々曇,8,1
2009,1,26,曇一時晴,8,1,晴,8,1
2009,1,27,曇一時雨,8,1,曇一時雨,8,1
2009,1,28,曇時々雨,8,1,曇時々雨一時晴,8,1
2009,1,29,雨時々曇,8,1,曇一時雨,8,1
2009,1,30,晴一時曇,8,1,晴時々曇一時雨,8,1
2009,1,31,晴,8,1,晴時々雨一時曇,8,1
2009,2,1,晴時々曇一時雨,8,1,晴,8,1
2009,2,2,晴時々曇,8,1,曇一時晴,8,1
2009,2,3,快晴,8,1,晴,8,1
2009,2,4,晴,8,1,快晴,8,1
2009,2,5,曇時々晴一時雨,8,1,晴,8,1
2009,2,6,晴一時曇,8,1,晴,8,1
2009,2,7,快晴,8,1,快晴,8,1
2009,2,8,晴後曇,8,1,快晴,8,1
2009,2,9,晴一時曇,8,1,曇時々雨一時晴,8,1
2009,2,10,晴,8,1,晴,8,1
2009,2,11,快晴,8,1,晴,8,1
2009,2,12,晴一時曇,8,1,晴,8,1
2009,2,13,晴時々薄曇,8,1,晴一時薄曇,8,1
2009,2,14,曇一時晴,8,1,晴一時薄曇,8,1
2009,2,15,曇一時雨,8,1,曇一時雨,8,1
2009,2,16,曇後時々雨,8,1,曇,8,1
2009,2,17,曇時々雨,8,1,雨時々曇,8,1
2009,2,18,曇一時雨,8,1,曇時々雨,8,1
2009,2,19,曇時々晴,8,1,晴時々曇,8,1
2009,2,20,曇時々雨一時晴,8,1,雨時々曇一時晴,8,1
2009,2,21,晴,8,1,晴,8,1
2009,2,22,曇時々晴,8,1,晴一時曇,8,1
2009,2,23,曇一時雨,8,1,曇一時晴,8,1
2009,2,24,晴,8,1,曇一時霧,8,1
2009,2,25,晴後時々曇,8,1,晴一時曇,8,1
2009,2,26,晴,8,1,晴一時霧,8,1
2009,2,27,晴一時雨,8,1,晴,8,1
2009,2,28,晴一時曇,8,1,晴,8,1
2009,3,1,曇時々晴一時雨,8,1,曇時々晴,8,1
2009,3,2,晴一時曇,8,1,晴一時曇,8,1
2009,3,3,曇一時晴,8,1,曇一時雨,8,1
