ダウンロードした時刻：2019/01/25 17:08:25

,,,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2006,1,1,雨時々曇,8,1,曇時々雨一時晴,8,1
2006,1,2,曇時々晴,8,1,晴時々曇一時雨,8,1
2006,1,3,快晴,8,1,晴一時曇,8,1
2006,1,4,快晴,8,1,晴,8,1
2006,1,5,曇,8,1,曇時々晴,8,1
2006,1,6,曇,8,1,曇時々雨,8,1
2006,1,7,曇時々雨,8,1,曇時々晴,8,1
2006,1,8,曇時々晴,8,1,晴時々曇,8,1
2006,1,9,晴,8,1,曇時々晴,8,1
2006,1,10,晴,8,1,晴,8,1
2006,1,11,曇一時晴,8,1,晴,8,1
2006,1,12,雨一時曇,8,1,曇一時晴,8,1
2006,1,13,曇時々晴一時雨,8,1,雨,8,1
2006,1,14,晴後曇,8,1,晴,8,1
2006,1,15,曇一時晴,8,1,曇時々晴,8,1
2006,1,16,曇後時々晴,8,1,曇後一時雨,8,1
2006,1,17,曇時々晴,8,1,曇時々晴,8,1
2006,1,18,雨時々曇一時晴,8,1,曇時々晴一時雨,8,1
2006,1,19,晴,8,1,曇一時雨後晴,8,1
2006,1,20,晴時々曇,8,1,晴時々曇,8,1
2006,1,21,曇時々雨,8,1,晴,8,1
2006,1,22,雨時々曇,8,1,曇,8,1
2006,1,23,曇一時晴,8,1,曇一時雨,8,1
2006,1,24,晴時々曇一時雨,8,1,曇,8,1
2006,1,25,曇時々晴,8,1,曇時々雨,8,1
2006,1,26,曇,8,1,曇時々晴,8,1
2006,1,27,晴一時曇,8,1,曇後一時晴,8,1
2006,1,28,曇一時晴,8,1,晴一時曇,8,1
2006,1,29,晴時々曇,8,1,曇一時雨,8,1
2006,1,30,晴時々曇,8,1,晴,8,1
2006,1,31,雨一時曇,8,1,曇時々晴,8,1
2006,2,1,晴後時々曇,8,1,曇時々晴,8,1
2006,2,2,曇時々晴,8,1,曇時々晴,8,1
2006,2,3,曇一時雨,8,1,曇時々晴,8,1
2006,2,4,曇一時晴,8,1,曇一時晴,8,1
2006,2,5,曇,8,1,曇時々晴,8,1
2006,2,6,晴後曇一時雨,8,1,晴一時曇,8,1
2006,2,7,晴時々曇,8,1,晴時々曇一時雨,8,1
2006,2,8,晴時々曇,8,1,晴時々曇,8,1
2006,2,9,曇,8,1,曇,8,1
2006,2,10,曇時々晴,8,1,曇時々晴,8,1
2006,2,11,曇時々雨,8,1,曇時々晴,8,1
2006,2,12,薄曇一時晴,8,1,晴時々曇,8,1
2006,2,13,曇一時晴,8,1,曇,8,1
2006,2,14,晴,8,1,晴,8,1
2006,2,15,晴,8,1,晴時々曇,8,1
2006,2,16,晴時々曇一時雨,8,1,晴,8,1
2006,2,17,曇,8,1,曇一時雨,8,1
2006,2,18,曇,8,1,曇,8,1
2006,2,19,曇時々雨一時晴,8,1,晴一時曇,8,1
2006,2,20,曇一時晴,8,1,曇時々晴,8,1
2006,2,21,晴後曇,8,1,曇時々晴一時雨,8,1
2006,2,22,晴一時曇,8,1,晴時々曇,8,1
2006,2,23,晴,8,1,晴時々曇,8,1
2006,2,24,曇時々晴,8,1,曇時々晴一時雨,8,1
2006,2,25,晴一時曇,8,1,曇時々晴,8,1
2006,2,26,曇時々雨,8,1,曇時々晴,8,1
2006,2,27,晴後曇,8,1,曇時々雨,8,1
2006,2,28,曇一時晴,8,1,曇時々晴一時雨,8,1
2006,3,1,曇一時雨,8,1,雨時々曇,8,1
2006,3,2,晴時々曇,8,1,曇時々晴,8,1
2006,3,3,晴,8,1,晴,8,1
2006,3,4,晴,8,1,快晴,8,1
2006,3,5,晴,8,1,晴,8,1
