ダウンロードした時刻：2019/01/25 17:08:31

,,,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2007,1,1,晴一時曇,8,1,曇一時晴,8,1
2007,1,2,曇一時雨,8,1,曇後時々晴,8,1
2007,1,3,曇時々晴,8,1,晴一時曇,8,1
2007,1,4,曇時々雨,8,1,曇一時晴,8,1
2007,1,5,晴時々曇,8,1,晴,8,1
2007,1,6,曇一時雨,8,1,晴時々曇,8,1
2007,1,7,曇,8,1,曇,8,1
2007,1,8,晴時々曇,8,1,曇時々雨,8,1
2007,1,9,曇時々晴一時雨,8,1,曇後晴,8,1
2007,1,10,曇時々雨,8,1,曇時々晴,8,1
2007,1,11,雨時々曇,8,1,曇,8,1
2007,1,12,晴一時曇,8,1,晴時々曇,8,1
2007,1,13,雨時々曇,8,1,曇一時雨,8,1
2007,1,14,晴時々曇,8,1,晴時々曇,8,1
2007,1,15,晴時々曇,8,1,晴時々曇,8,1
2007,1,16,曇,8,1,曇,8,1
2007,1,17,雨時々晴一時曇,8,1,曇一時晴,8,1
2007,1,18,雨時々曇,8,1,曇時々雨,8,1
2007,1,19,雨時々曇,8,1,雨,8,1
2007,1,20,晴時々雨,8,1,曇時々雨,8,1
2007,1,21,曇時々雨,8,1,曇時々雨,8,1
2007,1,22,晴,8,1,曇,8,1
2007,1,23,曇時々晴,8,1,晴時々曇,8,1
2007,1,24,曇,8,1,雨時々曇,8,1
2007,1,25,晴一時曇,8,1,晴一時曇,8,1
2007,1,26,曇後晴,8,1,晴時々曇,8,1
2007,1,27,雨一時曇,8,1,晴時々曇,8,1
2007,1,28,曇一時雨,8,1,雨,8,1
2007,1,29,曇時々晴,8,1,曇時々晴,8,1
2007,1,30,晴一時曇,8,1,晴一時曇,8,1
2007,1,31,晴時々曇,8,1,晴時々曇,8,1
2007,2,1,曇時々晴,8,1,晴時々曇,8,1
2007,2,2,曇時々晴,8,1,曇時々晴,8,1
2007,2,3,曇時々晴,8,1,晴時々曇,8,1
2007,2,4,曇,8,1,曇一時晴,8,1
2007,2,5,晴,8,1,晴一時曇,8,1
2007,2,6,晴,8,1,晴,8,1
2007,2,7,快晴,8,1,晴,8,1
2007,2,8,晴,8,1,晴,8,1
2007,2,9,曇時々晴,8,1,晴,8,1
2007,2,10,曇後一時晴,8,1,曇時々雨,8,1
2007,2,11,晴,8,1,晴,8,1
2007,2,12,快晴,8,1,晴,8,1
2007,2,13,晴,8,1,快晴,8,1
2007,2,14,曇時々雨,8,1,曇時々雨一時晴,8,1
2007,2,15,晴,8,1,晴,8,1
2007,2,16,晴後曇,8,1,晴,8,1
2007,2,17,晴一時曇,8,1,曇後晴,8,1
2007,2,18,曇時々晴,8,1,雨時々晴,8,1
2007,2,19,曇一時晴,8,1,晴時々曇,8,1
2007,2,20,雨時々曇,8,1,曇一時晴,8,1
2007,2,21,晴時々曇,8,1,晴時々曇一時雨,8,1
2007,2,22,雨時々曇一時晴,8,1,雨時々曇,8,1
2007,2,23,晴,8,1,曇後晴,8,1
2007,2,24,晴一時曇,8,1,晴,8,1
2007,2,25,曇時々雨,8,1,曇時々晴,8,1
2007,2,26,晴,8,1,曇後晴,8,1
2007,2,27,晴時々曇,8,1,晴時々雨一時曇,8,1
2007,2,28,晴時々曇,8,1,晴時々曇,8,1
2007,3,1,晴後曇,8,1,晴時々曇,8,1
2007,3,2,曇時々晴,8,1,曇後一時晴,8,1
2007,3,3,晴,8,1,晴,8,1
2007,3,4,晴時々曇,8,1,晴,8,1
2007,3,5,雨後曇,8,1,曇一時雨,8,1
2007,3,6,曇,8,1,曇,8,1
