ダウンロードした時刻：2019/01/25 17:08:00

,,,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2002,1,1,晴時々曇一時雨,8,1,晴後曇一時雨,8,1
2002,1,2,晴一時雨,8,1,晴一時雨,8,1
2002,1,3,晴,8,1,晴,8,1
2002,1,4,晴,8,1,晴一時曇,8,1
2002,1,5,晴一時曇,8,1,曇後晴,8,1
2002,1,6,晴,8,1,晴一時曇,8,1
2002,1,7,曇時々晴一時雨,8,1,曇一時晴,8,1
2002,1,8,晴時々曇,8,1,晴,8,1
2002,1,9,晴一時曇,8,1,晴時々曇,8,1
2002,1,10,晴,8,1,晴時々曇,8,1
2002,1,11,晴,8,1,晴時々曇一時雨,8,1
2002,1,12,快晴,8,1,晴,8,1
2002,1,13,薄曇,8,1,晴後薄曇,8,1
2002,1,14,曇一時晴,8,1,曇一時晴,8,1
2002,1,15,曇一時雨,8,1,曇一時雨,8,1
2002,1,16,曇時々雨,8,1,曇一時晴,8,1
2002,1,17,曇,8,1,曇時々晴一時雨,8,1
2002,1,18,雨時々曇、雷を伴う,8,1,曇一時雨,8,1
2002,1,19,晴一時曇,8,1,晴時々曇一時雨,8,1
2002,1,20,晴時々曇,8,1,曇時々晴,8,1
2002,1,21,雨後曇,8,1,雨一時曇,8,1
2002,1,22,晴時々曇,8,1,晴,8,1
2002,1,23,晴,8,1,晴,8,1
2002,1,24,晴,8,1,晴,8,1
2002,1,25,曇一時雨,8,1,曇時々晴,8,1
2002,1,26,曇一時雨,8,1,曇時々雨,8,1
2002,1,27,曇,8,1,曇,8,1
2002,1,28,曇時々雨,8,1,曇一時晴,8,1
2002,1,29,晴,8,1,曇時々晴一時雨,8,1
2002,1,30,晴一時曇,8,1,晴,8,1
2002,1,31,晴一時曇,8,1,晴時々曇,8,1
2002,2,1,晴,8,1,晴時々曇,8,1
2002,2,2,雨時々曇,8,1,晴後曇一時雨,8,1
2002,2,3,晴一時曇,8,1,曇時々晴一時雨,8,1
2002,2,4,晴,8,1,晴時々曇,8,1
2002,2,5,晴一時曇,8,1,晴一時曇,8,1
2002,2,6,晴,8,1,晴,8,1
2002,2,7,晴,8,1,曇一時晴,8,1
2002,2,8,曇後雨,8,1,晴,8,1
2002,2,9,晴時々曇,8,1,曇時々雨一時晴,8,1
2002,2,10,晴時々曇一時雨,8,1,曇時々晴,8,1
2002,2,11,曇時々晴一時雨,8,1,晴時々曇,8,1
2002,2,12,快晴,8,1,晴,8,1
2002,2,13,快晴,8,1,晴,8,1
2002,2,14,晴一時曇,8,1,晴,8,1
2002,2,15,曇一時晴,8,1,曇後晴,8,1
2002,2,16,快晴,8,1,晴一時曇,8,1
2002,2,17,曇時々雨後晴,8,1,晴一時曇,8,1
2002,2,18,晴,8,1,晴一時曇,8,1
2002,2,19,曇時々晴,8,1,曇一時晴,8,1
2002,2,20,曇一時晴,8,1,晴時々曇,8,1
2002,2,21,曇,8,1,曇,8,1
2002,2,22,快晴,8,1,曇一時晴,8,1
2002,2,23,晴,8,1,晴,8,1
2002,2,24,晴一時曇,8,1,曇時々雨一時晴,8,1
2002,2,25,晴一時曇,8,1,晴,8,1
2002,2,26,晴,8,1,晴時々曇,8,1
2002,2,27,曇時々晴,8,1,晴,8,1
2002,2,28,曇一時晴,8,1,曇時々晴一時雨,8,1
2002,3,1,晴,8,1,晴,8,1
2002,3,2,晴,8,1,晴,8,1
2002,3,3,晴一時曇,8,1,晴一時曇,8,1
2002,3,4,晴,8,1,晴,8,1
2002,3,5,曇時々晴一時雨,8,1,晴,8,1
2002,3,6,曇,8,1,曇時々雨,8,1
