ダウンロードした時刻：2019/01/25 17:08:06

,,,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2003,1,1,晴,8,1,晴,8,1
2003,1,2,晴,8,1,晴,8,1
2003,1,3,曇一時雨,8,1,晴後時々曇,8,1
2003,1,4,晴一時曇,8,1,晴,8,1
2003,1,5,曇時々雨,8,1,曇時々雨,8,1
2003,1,6,晴,8,1,曇後一時晴,8,1
2003,1,7,雨,8,1,曇一時雨,8,1
2003,1,8,晴時々曇,8,1,雨,8,1
2003,1,9,晴一時曇,8,1,晴時々曇,8,1
2003,1,10,雨時々曇一時晴,8,1,晴後曇一時雨,8,1
2003,1,11,晴一時曇,8,1,晴,8,1
2003,1,12,晴時々曇,8,1,晴,8,1
2003,1,13,晴,8,1,晴,8,1
2003,1,14,晴,8,1,晴,8,1
2003,1,15,晴時々曇,8,1,晴時々曇一時雨,8,1
2003,1,16,快晴,8,1,晴,8,1
2003,1,17,晴,8,1,晴,8,1
2003,1,18,晴一時曇,8,1,晴一時曇,8,1
2003,1,19,晴一時曇,8,1,晴後曇一時雨,8,1
2003,1,20,曇時々晴,8,1,晴時々曇,8,1
2003,1,21,晴,8,1,晴時々曇,8,1
2003,1,22,曇時々晴後一時雨,8,1,晴,8,1
2003,1,23,晴時々曇,8,1,曇時々雨,8,1
2003,1,24,晴時々曇,8,1,晴,8,1
2003,1,25,曇後一時晴,8,1,曇時々晴,8,1
2003,1,26,晴時々曇,8,1,晴,8,1
2003,1,27,曇時々雨,8,1,晴,8,1
2003,1,28,曇時々晴,8,1,曇後一時晴,8,1
2003,1,29,曇,8,1,曇,8,1
2003,1,30,曇後晴,8,1,曇,8,1
2003,1,31,快晴,8,1,晴,8,1
2003,2,1,晴後曇時々雨,8,1,晴後時々曇,8,1
2003,2,2,晴,8,1,曇時々晴,8,1
2003,2,3,晴,8,1,晴一時曇,8,1
2003,2,4,曇,8,1,晴時々曇,8,1
2003,2,5,晴時々曇,8,1,曇後時々晴,8,1
2003,2,6,曇後時々晴,8,1,晴時々曇,8,1
2003,2,7,晴時々曇,8,1,曇一時晴,8,1
2003,2,8,曇後晴,8,1,晴時々曇,8,1
2003,2,9,晴,8,1,晴一時曇,8,1
2003,2,10,晴,8,1,晴,8,1
2003,2,11,晴時々曇,8,1,晴時々曇,8,1
2003,2,12,曇時々晴,8,1,晴時々曇,8,1
2003,2,13,曇時々晴,8,1,曇時々晴,8,1
2003,2,14,晴時々曇,8,1,曇後晴,8,1
2003,2,15,薄曇一時晴,8,1,曇,8,1
2003,2,16,曇時々雨,8,1,曇後晴,8,1
2003,2,17,曇時々晴,8,1,晴時々曇,8,1
2003,2,18,晴時々曇,8,1,曇後晴,8,1
2003,2,19,雨一時曇後晴,8,1,晴時々曇,8,1
2003,2,20,曇時々晴,8,1,晴時々曇,8,1
2003,2,21,晴後時々曇,8,1,晴一時曇,8,1
2003,2,22,快晴,8,1,曇時々晴,8,1
2003,2,23,晴後時々曇,8,1,晴時々曇,8,1
2003,2,24,晴,8,1,曇後晴,8,1
2003,2,25,晴時々曇,8,1,晴,8,1
2003,2,26,晴,8,1,晴,8,1
2003,2,27,晴時々雨,8,1,晴,8,1
2003,2,28,晴,8,1,曇後晴,8,1
2003,3,1,晴一時雨,8,1,晴一時曇,8,1
2003,3,2,晴後一時雨,8,1,晴,8,1
2003,3,3,曇時々晴一時雨,8,1,晴一時雨,8,1
2003,3,4,曇後時々雨,8,1,曇後雨,8,1
2003,3,5,曇時々雨,8,1,曇,8,1
2003,3,6,雨時々曇,8,1,曇,8,1
2003,3,7,曇時々雨,8,1,曇時々雨,8,1
