ダウンロードした時刻：2019/01/25 17:09:18

,,,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2016,1,1,晴時々曇,8,1,晴,8,1
2016,1,2,晴後時々薄曇,8,1,晴時々薄曇,8,1
2016,1,3,曇時々雨,8,1,曇,8,1
2016,1,4,曇時々雨一時晴,8,1,曇時々雨,8,1
2016,1,5,曇後晴,8,1,曇時々晴,8,1
2016,1,6,雨時々曇,8,1,曇時々雨一時晴,8,1
2016,1,7,曇一時雨,8,1,晴時々曇,8,1
2016,1,8,雨,8,1,晴後曇,8,1
2016,1,9,曇後晴,8,1,雨後曇,8,1
2016,1,10,薄曇,8,1,晴後薄曇,8,1
2016,1,11,曇時々雨,8,1,曇一時晴,8,1
2016,1,12,曇時々晴,8,1,曇一時雨,8,1
2016,1,13,雨時々曇,8,1,曇,8,1
2016,1,14,雨時々曇,8,1,雨,8,1
2016,1,15,雨一時曇,8,1,曇一時晴,8,1
2016,1,16,晴,8,1,雨後晴一時曇,8,1
2016,1,17,雨後曇時々晴,8,1,晴後曇時々雨,8,1
2016,1,18,晴時々曇,8,1,曇時々晴一時雨,8,1
2016,1,19,晴時々曇,8,1,晴時々曇,8,1
2016,1,20,晴時々曇,8,1,晴時々曇,8,1
2016,1,21,曇時々雨,8,1,曇時々晴,8,1
2016,1,22,曇時々雨後晴,8,1,雨時々曇,8,1
2016,1,23,曇時々雨,8,1,雨時々曇,8,1
2016,1,24,雨時々曇,8,1,曇時々雨,8,1
2016,1,25,曇時々雨,8,1,晴時々雨,8,1
2016,1,26,晴一時曇,8,1,晴時々曇,8,1
2016,1,27,晴後一時曇,8,1,晴,8,1
2016,1,28,晴後時々曇,8,1,晴時々曇,8,1
2016,1,29,曇時々晴,8,1,晴時々曇,8,1
2016,1,30,雨時々曇,8,1,曇時々雨一時晴,8,1
2016,1,31,晴時々曇,8,1,晴一時曇,8,1
2016,2,1,雨時々曇,8,1,晴,8,1
2016,2,2,曇時々雨,8,1,曇時々雨,8,1
2016,2,3,曇時々晴,8,1,曇一時雨,8,1
2016,2,4,晴後時々曇,8,1,晴一時曇,8,1
2016,2,5,曇時々雨一時晴,8,1,曇後雨,8,1
2016,2,6,雨時々曇,8,1,雨時々曇,8,1
2016,2,7,晴時々曇,8,1,晴時々曇一時雨,8,1
2016,2,8,晴時々曇,8,1,曇時々晴,8,1
2016,2,9,晴一時曇,8,1,晴一時曇,8,1
2016,2,10,晴,8,1,晴,8,1
2016,2,11,晴,8,1,晴,8,1
2016,2,12,晴後時々曇,8,1,晴後時々曇,8,1
2016,2,13,曇時々雨,8,1,晴,8,1
2016,2,14,雨時々曇,8,1,曇後一時雨,8,1
2016,2,15,曇一時雨,8,1,雨時々曇,8,1
2016,2,16,晴時々曇,8,1,曇時々晴,8,1
2016,2,17,晴後一時曇,8,1,晴時々曇,8,1
2016,2,18,晴一時曇,8,1,晴時々曇,8,1
2016,2,19,曇時々晴,8,1,晴後時々曇,8,1
2016,2,20,雨時々曇,8,1,曇時々雨,8,1
2016,2,21,晴時々曇,8,1,晴時々曇,8,1
2016,2,22,曇後晴,8,1,晴後曇,8,1
2016,2,23,曇一時雨,8,1,晴後曇一時雨,8,1
2016,2,24,曇後晴,8,1,曇時々雨,8,1
2016,2,25,晴時々曇,8,1,晴一時曇,8,1
2016,2,26,晴一時曇,8,1,晴一時曇,8,1
2016,2,27,曇時々晴,8,1,晴後一時曇,8,1
2016,2,28,曇一時雨,8,1,曇時々晴,8,1
2016,2,29,曇時々晴,8,1,曇,8,1
2016,3,1,曇後晴,8,1,曇,8,1
