ダウンロードした時刻：2019/01/25 17:08:36

,,,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2008,1,1,曇時々雨一時晴,8,1,晴時々曇一時雨,8,1
2008,1,2,曇時々晴,8,1,晴時々曇,8,1
2008,1,3,曇一時晴,8,1,曇時々晴,8,1
2008,1,4,曇時々晴,8,1,曇後時々晴,8,1
2008,1,5,晴時々曇,8,1,晴一時曇,8,1
2008,1,6,晴,8,1,晴,8,1
2008,1,7,晴時々曇,8,1,晴一時雨,8,1
2008,1,8,晴,8,1,晴時々曇,8,1
2008,1,9,晴,8,1,晴一時曇,8,1
2008,1,10,晴,8,1,曇時々晴,8,1
2008,1,11,快晴,8,1,快晴,8,1
2008,1,12,晴一時曇,8,1,晴,8,1
2008,1,13,曇時々雨,8,1,曇一時雨,8,1
2008,1,14,雨一時曇,8,1,雨時々曇,8,1
2008,1,15,雨一時曇,8,1,雨一時曇,8,1
2008,1,16,雨一時曇,8,1,曇時々雨,8,1
2008,1,17,曇時々雨,8,1,雨時々曇,8,1
2008,1,18,曇時々晴,8,1,曇一時晴,8,1
2008,1,19,晴時々曇,8,1,晴一時曇,8,1
2008,1,20,曇時々晴一時雨,8,1,曇時々晴,8,1
2008,1,21,晴時々曇,8,1,晴一時曇,8,1
2008,1,22,雨時々曇,8,1,曇一時雨,8,1
2008,1,23,曇,8,1,雨時々曇,8,1
2008,1,24,曇,8,1,曇一時雨,8,1
2008,1,25,曇,8,1,曇,8,1
2008,1,26,曇,8,1,曇時々雨,8,1
2008,1,27,曇一時雨,8,1,曇時々雨,8,1
2008,1,28,晴時々曇,8,1,曇一時晴,8,1
2008,1,29,曇一時雨,8,1,曇時々雨,8,1
2008,1,30,雨一時曇,8,1,曇一時雨,8,1
2008,1,31,雨時々曇,8,1,雨一時曇,8,1
2008,2,1,曇一時晴,8,1,曇一時晴,8,1
2008,2,2,曇時々晴一時雨,8,1,曇時々晴,8,1
2008,2,3,曇一時雨,8,1,曇時々晴一時雨,8,1
2008,2,4,晴時々曇,8,1,晴時々曇一時雨,8,1
2008,2,5,大雨,8,1,曇時々雨一時晴,8,1
2008,2,6,曇時々雨,8,1,雨時々曇,8,1
2008,2,7,曇一時雨,8,1,曇一時晴,8,1
2008,2,8,雨時々曇,8,1,雨時々曇,8,1
2008,2,9,雨,8,1,雨,8,1
2008,2,10,雨一時曇,8,1,雨一時曇,8,1
2008,2,11,曇時々雨,8,1,曇時々雨,8,1
2008,2,12,曇時々雨,8,1,曇時々晴一時雨,8,1
2008,2,13,晴時々曇一時雨,8,1,曇一時晴,8,1
2008,2,14,曇時々晴一時雨,8,1,晴時々曇,8,1
2008,2,15,曇後晴,8,1,曇時々晴一時雨,8,1
2008,2,16,曇,8,1,曇時々晴,8,1
2008,2,17,曇時々晴,8,1,晴時々曇,8,1
2008,2,18,曇時々雨一時晴,8,1,曇時々晴,8,1
2008,2,19,晴一時曇,8,1,晴一時曇,8,1
2008,2,20,雨時々曇,8,1,雨時々曇一時晴,8,1
2008,2,21,晴一時曇,8,1,曇後時々晴,8,1
2008,2,22,曇,8,1,晴時々曇,8,1
2008,2,23,曇,8,1,曇一時雨,8,1
2008,2,24,曇時々晴,8,1,曇,8,1
2008,2,25,曇時々晴,8,1,曇後晴,8,1
2008,2,26,曇時々雨,8,1,晴時々曇,8,1
2008,2,27,曇時々雨,8,1,曇一時晴,8,1
2008,2,28,晴一時曇,8,1,曇一時晴,8,1
2008,2,29,曇時々雨,8,1,曇時々晴一時雨,8,1
2008,3,1,曇時々晴一時雨,8,1,雨一時曇,8,1
