ダウンロードした時刻：2019/01/25 17:07:48

,,,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2000,1,1,晴,8,1,晴一時曇,8,1
2000,1,2,晴一時雨,8,1,晴時々曇,8,1
2000,1,3,晴,8,1,晴,8,1
2000,1,4,晴,8,1,晴,8,1
2000,1,5,曇時々雨、雷を伴う,8,1,晴後曇,8,1
2000,1,6,晴時々曇,8,1,晴,8,1
2000,1,7,雨時々曇,8,1,曇時々雨,8,1
2000,1,8,晴,8,1,晴一時雨,8,1
2000,1,9,晴一時雨,8,1,曇一時雨,8,1
2000,1,10,晴,8,1,晴時々曇,8,1
2000,1,11,晴,8,1,晴,8,1
2000,1,12,曇時々晴一時雨,8,1,曇一時晴,8,1
2000,1,13,雨,8,1,曇時々雨,8,1
2000,1,14,曇時々雨,8,1,曇時々雨,8,1
2000,1,15,雨,8,1,曇時々雨,8,1
2000,1,16,晴時々曇,8,1,曇一時雨,8,1
2000,1,17,晴時々曇一時雨,8,1,晴時々曇,8,1
2000,1,18,晴時々曇,8,1,雨時々曇,8,1
2000,1,19,曇一時晴,8,1,晴一時曇,8,1
2000,1,20,晴時々曇,8,1,晴時々曇,8,1
2000,1,21,曇,8,1,晴時々曇,8,1
2000,1,22,曇一時晴,8,1,曇,8,1
2000,1,23,晴,8,1,快晴,8,1
2000,1,24,晴,8,1,晴,8,1
2000,1,25,曇一時雨,8,1,晴後雨時々曇,8,1
2000,1,26,曇,8,1,曇,8,1
2000,1,27,晴一時雨,8,1,晴時々曇,8,1
2000,1,28,曇時々晴,8,1,晴時々曇一時雨,8,1
2000,1,29,晴一時曇,8,1,晴一時曇,8,1
2000,1,30,晴時々曇,8,1,晴,8,1
2000,1,31,曇時々雨,8,1,曇時々晴,8,1
2000,2,1,曇一時雨,8,1,曇時々雨,8,1
2000,2,2,晴,8,1,曇後晴,8,1
2000,2,3,快晴,8,1,晴一時曇,8,1
2000,2,4,曇時々雨,8,1,晴時々曇,8,1
2000,2,5,曇一時雨,8,1,晴一時曇,8,1
2000,2,6,雨時々曇,8,1,曇時々雨,8,1
2000,2,7,曇一時晴,8,1,曇,8,1
2000,2,8,晴後曇,8,1,曇後晴,8,1
2000,2,9,曇時々晴,8,1,曇一時雨,8,1
2000,2,10,晴,8,1,晴,8,1
2000,2,11,曇一時雨,8,1,晴一時曇,8,1
2000,2,12,曇時々雨,8,1,雨時々曇,8,1
2000,2,13,曇時々晴,8,1,曇後晴,8,1
2000,2,14,曇時々雨,8,1,晴時々曇,8,1
2000,2,15,晴,8,1,曇時々晴,8,1
2000,2,16,晴後曇,8,1,晴一時曇,8,1
2000,2,17,曇時々晴,8,1,曇時々晴,8,1
2000,2,18,晴一時曇,8,1,晴,8,1
2000,2,19,曇後大雨,8,1,晴一時曇,8,1
2000,2,20,曇時々雨,8,1,曇時々雨,8,1
2000,2,21,曇一時雨,8,1,曇,8,1
2000,2,22,雨一時曇,8,1,曇時々雨,8,1
2000,2,23,雨時々曇,8,1,雨,8,1
2000,2,24,曇一時雨,8,1,曇時々雨,8,1
2000,2,25,雨時々曇,8,1,曇一時雨,8,1
2000,2,26,曇時々晴,8,1,雨時々曇,8,1
2000,2,27,晴後曇,8,1,晴,8,1
2000,2,28,曇,8,1,曇,8,1
2000,2,29,曇,8,1,曇一時雨,8,1
2000,3,1,曇一時雨,8,1,曇一時晴,8,1
2000,3,2,雨,8,1,雨,8,1
2000,3,3,曇一時雨,8,1,曇時々雨,8,1
2000,3,4,曇,8,1,曇,8,1
2000,3,5,雨一時霧,8,1,曇後霧,8,1
2000,3,6,雨,8,1,雨時々曇,8,1
