ダウンロードした時刻：2019/01/25 17:09:04

,,,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2013,1,1,晴一時曇,8,1,晴時々曇,8,1
2013,1,2,晴時々曇,8,1,晴時々曇,8,1
2013,1,3,曇時々雨,8,1,曇時々晴,8,1
2013,1,4,曇後一時雨,8,1,曇時々雨,8,1
2013,1,5,雨時々曇,8,1,曇一時晴,8,1
2013,1,6,晴一時雨,8,1,雨,8,1
2013,1,7,晴時々曇,8,1,晴,8,1
2013,1,8,雨時々曇,8,1,曇後時々雨,8,1
2013,1,9,曇一時雨,8,1,雨後時々曇,8,1
2013,1,10,晴時々曇,8,1,曇,8,1
2013,1,11,晴,8,1,曇時々晴,8,1
2013,1,12,曇時々晴一時雨,8,1,晴後一時曇,8,1
2013,1,13,雨後時々曇,8,1,雨一時曇,8,1
2013,1,14,晴,8,1,晴一時雨,8,1
2013,1,15,晴時々曇,8,1,晴後一時曇,8,1
2013,1,16,晴時々曇,8,1,晴,8,1
2013,1,17,曇時々晴一時雨,8,1,晴時々曇一時雨,8,1
2013,1,18,晴時々雨,8,1,晴時々雨一時曇,8,1
2013,1,19,晴後時々曇,8,1,晴,8,1
2013,1,20,快晴,8,1,曇後晴,8,1
2013,1,21,快晴,8,1,曇時々晴,8,1
2013,1,22,曇時々晴一時雨,8,1,晴後時々曇,8,1
2013,1,23,晴時々曇,8,1,曇一時晴,8,1
2013,1,24,晴時々曇,8,1,晴,8,1
2013,1,25,曇時々晴,8,1,曇一時雨,8,1
2013,1,26,晴一時曇,8,1,晴後時々曇,8,1
2013,1,27,晴時々曇,8,1,晴時々雨一時曇,8,1
2013,1,28,晴時々曇,8,1,晴一時曇,8,1
2013,1,29,晴時々曇,8,1,晴一時薄曇,8,1
2013,1,30,晴時々曇,8,1,曇時々雨,8,1
2013,1,31,晴,8,1,晴,8,1
2013,2,1,曇後晴,8,1,曇時々晴,8,1
2013,2,2,晴後時々曇,8,1,晴,8,1
2013,2,3,晴,8,1,晴一時曇,8,1
2013,2,4,晴,8,1,快晴,8,1
2013,2,5,晴時々曇,8,1,晴後時々曇,8,1
2013,2,6,曇,8,1,曇一時雨,8,1
2013,2,7,曇時々晴,8,1,曇後晴,8,1
2013,2,8,雨時々曇,8,1,曇時々雨一時晴,8,1
2013,2,9,曇時々雨,8,1,雨時々曇,8,1
2013,2,10,曇後時々晴,8,1,晴時々曇,8,1
2013,2,11,晴時々曇,8,1,晴時々曇,8,1
2013,2,12,晴時々曇一時雨,8,1,曇時々晴,8,1
2013,2,13,曇時々晴,8,1,曇,8,1
2013,2,14,晴一時曇,8,1,曇後一時晴,8,1
2013,2,15,曇時々雨,8,1,晴後時々曇一時雨,8,1
2013,2,16,晴,8,1,曇時々晴,8,1
2013,2,17,晴時々曇,8,1,晴,8,1
2013,2,18,晴時々曇,8,1,晴,8,1
2013,2,19,曇時々雨,8,1,晴時々曇,8,1
2013,2,20,曇一時雨,8,1,曇一時雨,8,1
2013,2,21,晴後時々曇,8,1,曇時々晴,8,1
2013,2,22,雨時々曇一時晴,8,1,晴後一時曇,8,1
2013,2,23,晴一時曇,8,1,曇時々雨,8,1
2013,2,24,曇時々晴,8,1,晴,8,1
2013,2,25,晴,8,1,曇後晴,8,1
2013,2,26,晴後一時曇,8,1,晴,8,1
2013,2,27,曇時々雨一時晴,8,1,曇時々雨一時晴,8,1
2013,2,28,晴後曇,8,1,晴後一時曇,8,1
2013,3,1,晴時々雨一時曇,8,1,曇後晴,8,1
2013,3,2,曇後時々晴,8,1,曇一時雨,8,1
2013,3,3,晴時々曇一時雨,8,1,曇時々雨,8,1
