ダウンロードした時刻：2019/01/25 17:09:09

,,,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2014,1,1,快晴,8,1,晴,8,1
2014,1,2,曇,8,1,快晴,8,1
2014,1,3,曇後時々雨,8,1,曇後一時雨,8,1
2014,1,4,曇後一時晴,8,1,雨時々曇,8,1
2014,1,5,晴後一時曇,8,1,晴時々曇,8,1
2014,1,6,曇時々晴,8,1,晴,8,1
2014,1,7,晴,8,1,晴,8,1
2014,1,8,晴時々曇,8,1,晴,8,1
2014,1,9,　曇後時々晴,8,1,曇一時晴,8,1
2014,1,10,曇後一時晴,8,1,曇一時晴,8,1
2014,1,11,晴時々曇,8,1,晴,8,1
2014,1,12,晴,8,1,快晴,8,1
2014,1,13,曇時々雨,8,1,晴後一時雨,8,1
2014,1,14,雨,8,1,雨一時曇,8,1
2014,1,15,晴時々曇,8,1,曇時々晴一時雨,8,1
2014,1,16,曇時々晴,8,1,晴時々曇,8,1
2014,1,17,晴時々曇,8,1,曇時々晴,8,1
2014,1,18,曇時々晴,8,1,晴時々曇一時雨,8,1
2014,1,19,曇時々晴,8,1,晴一時曇,8,1
2014,1,20,晴時々曇,8,1,曇時々晴,8,1
2014,1,21,曇後一時雨,8,1,曇時々雨,8,1
2014,1,22,曇時々晴,8,1,晴時々曇,8,1
2014,1,23,晴時々曇,8,1,晴時々雨,8,1
2014,1,24,晴時々曇,8,1,晴一時曇,8,1
2014,1,25,晴時々曇,8,1,晴一時曇,8,1
2014,1,26,曇一時雨後晴,8,1,晴後時々曇,8,1
2014,1,27,晴,8,1,晴,8,1
2014,1,28,晴時々曇,8,1,晴時々曇,8,1
2014,1,29,晴一時曇,8,1,晴,8,1
2014,1,30,晴時々曇,8,1,曇,8,1
2014,1,31,快晴,8,1,晴,8,1
2014,2,1,曇時々雨,8,1,晴一時曇,8,1
2014,2,2,曇後雨,8,1,雨時々曇,8,1
2014,2,3,曇時々晴一時雨,8,1,雨時々曇,8,1
2014,2,4,曇,8,1,晴時々曇,8,1
2014,2,5,曇,8,1,曇時々晴,8,1
2014,2,6,曇後雨,8,1,曇後一時晴,8,1
2014,2,7,晴一時曇,8,1,大雨後時々曇,8,1
2014,2,8,曇時々晴,8,1,晴後時々曇,8,1
2014,2,9,雨一時曇,8,1,曇,8,1
2014,2,10,曇一時雨,8,1,雨時々曇,8,1
2014,2,11,雨時々曇一時晴,8,1,雨一時曇,8,1
2014,2,12,曇時々雨,8,1,曇時々晴,8,1
2014,2,13,曇時々雨一時晴,8,1,晴時々曇,8,1
2014,2,14,晴,8,1,晴時々曇一時雨,8,1
2014,2,15,晴後時々曇,8,1,晴後一時曇,8,1
2014,2,16,曇時々晴,8,1,曇時々晴,8,1
2014,2,17,晴時々曇,8,1,曇後晴,8,1
2014,2,18,晴,8,1,晴一時曇,8,1
2014,2,19,曇時々雨,8,1,曇時々雨,8,1
2014,2,20,晴一時曇,8,1,雨時々曇一時晴,8,1
2014,2,21,晴,8,1,晴,8,1
2014,2,22,晴,8,1,晴一時曇,8,1
2014,2,23,晴後時々曇,8,1,晴,8,1
2014,2,24,晴後時々曇,8,1,晴,8,1
2014,2,25,曇後晴,8,1,晴,8,1
2014,2,26,晴後一時霧,8,1,快晴,8,1
2014,2,27,晴,8,1,晴,8,1
2014,2,28,晴,8,1,晴一時霧,8,1
2014,3,1,快晴,8,1,晴、霧を伴う,8,1
2014,3,2,雨後曇,8,1,曇一時晴,8,1
2014,3,3,曇時々晴,8,1,曇時々雨一時晴,8,1
2014,3,4,晴時々曇一時雨,8,1,晴,8,1
