ダウンロードした時刻：2019/01/25 17:08:20

,,,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2005,4,18,曇時々雨,8,1,曇,8,1
2005,4,19,晴時々曇,8,1,曇,8,1
2005,4,20,曇時々晴一時雨,8,1,晴一時薄曇,8,1
2005,4,21,晴時々曇,8,1,晴時々曇,8,1
2005,4,22,曇時々晴,8,1,曇,8,1
2005,4,23,雨時々曇,8,1,曇,8,1
2005,4,24,曇時々霧一時晴,8,1,雨後曇,8,1
2005,4,25,晴時々曇,8,1,晴時々曇,8,1
2005,4,26,曇,8,1,晴一時曇,8,1
2005,4,27,曇時々晴,8,1,曇,8,1
2005,4,28,曇,8,1,曇,8,1
2005,4,29,晴時々曇,8,1,曇一時晴,8,1
2005,4,30,晴時々曇,8,1,晴時々曇,8,1
2005,5,1,曇時々晴,8,1,晴一時曇,8,1
2005,5,2,晴時々曇,8,1,晴後曇,8,1
2005,5,3,曇時々雨,8,1,曇,8,1
2005,5,4,曇時々晴,8,1,曇一時雨,8,1
2005,5,5,晴,8,1,晴一時曇,8,1
2005,5,6,晴後曇,8,1,晴,8,1
2005,5,7,曇一時雨,8,1,曇一時雨、雷を伴う,8,1
2005,5,8,雨時々曇、雷を伴う,8,1,曇時々晴,8,1
2005,5,9,雨時々曇,8,1,曇時々雨,8,1
2005,5,10,雨時々曇,8,1,曇後大雨,8,1
2005,5,11,晴時々曇,8,1,雨時々曇,8,1
2005,5,12,晴時々曇,8,1,晴時々曇,8,1
2005,5,13,曇時々晴,8,1,晴一時曇,8,1
2005,5,14,雨時々曇,8,1,雨,8,1
2005,5,15,晴時々曇,8,1,曇,8,1
2005,5,16,晴,8,1,晴,8,1
2005,5,17,晴,8,1,晴,8,1
2005,5,18,晴,8,1,晴,8,1
2005,5,19,曇一時晴,8,1,晴,8,1
2005,5,20,晴一時曇,8,1,曇後時々晴,8,1
2005,5,21,曇後晴,8,1,曇時々晴,8,1
2005,5,22,晴時々曇,8,1,曇時々晴,8,1
2005,5,23,曇,8,1,曇,8,1
2005,5,24,曇時々雨,8,1,曇一時雨,8,1
2005,5,25,雨時々曇,8,1,雨,8,1
2005,5,26,雨時々曇,8,1,曇時々雨,8,1
2005,5,27,曇後時々雨,8,1,曇,8,1
2005,5,28,雨時々曇,8,1,雨一時曇,8,1
2005,5,29,曇時々雨,8,1,雨時々曇,8,1
2005,5,30,晴一時薄曇,8,1,晴時々曇,8,1
2005,5,31,曇一時晴,8,1,薄曇,8,1
2005,6,1,晴一時曇,8,1,曇一時晴,8,1
2005,6,2,曇一時雨、雷を伴う,8,1,曇,8,1
2005,6,3,曇時々雨、雷を伴う,8,1,曇,8,1
2005,6,4,曇時々霧,8,1,曇一時雨,8,1
2005,6,5,曇一時晴,8,1,曇一時雨,8,1
2005,6,6,曇時々晴,8,1,晴時々曇,8,1
2005,6,7,曇,8,1,曇時々晴,8,1
2005,6,8,雨時々曇,8,1,曇,8,1
2005,6,9,曇,8,1,曇,8,1
2005,6,10,快晴,8,1,曇後晴,8,1
2005,6,11,晴時々曇,8,1,曇時々晴一時雨,8,1
2005,6,12,曇時々雨、雷を伴う,8,1,晴,8,1
2005,6,13,曇一時雨,8,1,雨,8,1
2005,6,14,曇時々雨,8,1,曇時々雨,8,1
2005,6,15,曇,8,1,曇,8,1
2005,6,16,曇,8,1,薄曇,8,1
2005,6,17,曇時々雨,8,1,曇,8,1
2005,6,18,曇後時々晴,8,1,曇,8,1
2005,6,19,曇,8,1,曇,8,1
