ダウンロードした時刻：2019/01/25 17:08:48

,,,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2010,1,1,晴一時曇,8,1,曇時々晴,8,1
2010,1,2,曇一時雨,8,1,晴,8,1
2010,1,3,曇時々雨後晴,8,1,大雨,8,1
2010,1,4,快晴,8,1,晴,8,1
2010,1,5,曇時々雨,8,1,晴後雨,8,1
2010,1,6,雨時々曇,8,1,曇後一時雨,8,1
2010,1,7,曇時々晴,8,1,晴時々曇,8,1
2010,1,8,曇時々雨,8,1,晴後曇,8,1
2010,1,9,晴,8,1,晴一時曇,8,1
2010,1,10,雨,8,1,曇時々晴,8,1
2010,1,11,雨一時曇,8,1,雨後曇,8,1
2010,1,12,曇時々雨一時晴,8,1,雨時々曇一時晴,8,1
2010,1,13,曇時々雨一時晴,8,1,曇一時晴,8,1
2010,1,14,晴一時曇,8,1,曇時々晴一時雨,8,1
2010,1,15,曇,8,1,晴,8,1
2010,1,16,曇時々晴,8,1,曇後晴,8,1
2010,1,17,晴,8,1,晴,8,1
2010,1,18,晴,8,1,晴,8,1
2010,1,19,曇一時晴,8,1,晴一時曇,8,1
2010,1,20,快晴,8,1,晴一時雨,8,1
2010,1,21,曇後時々雨,8,1,晴後時々曇,8,1
2010,1,22,曇一時晴,8,1,曇一時雨,8,1
2010,1,23,曇一時晴,8,1,曇,8,1
2010,1,24,晴,8,1,曇時々晴,8,1
2010,1,25,曇時々雨,8,1,晴後曇一時雨,8,1
2010,1,26,晴一時曇,8,1,曇後晴,8,1
2010,1,27,晴,8,1,晴,8,1
2010,1,28,曇時々雨,8,1,晴,8,1
2010,1,29,曇,8,1,曇時々雨,8,1
2010,1,30,晴一時曇,8,1,曇一時晴,8,1
2010,1,31,晴時々曇,8,1,晴後時々曇,8,1
2010,2,1,晴一時雨,8,1,晴一時雨,8,1
2010,2,2,晴後曇,8,1,晴一時曇,8,1
2010,2,3,曇時々雨,8,1,曇一時雨,8,1
2010,2,4,曇後雨,8,1,曇時々雨,8,1
2010,2,5,曇一時雨,8,1,曇時々雨,8,1
2010,2,6,曇時々雨,8,1,曇時々雨,8,1
2010,2,7,雨一時曇,8,1,雨一時曇,8,1
2010,2,8,曇時々晴一時雨,8,1,曇時々雨後晴,8,1
2010,2,9,晴時々曇一時雨,8,1,晴,8,1
2010,2,10,晴,8,1,晴,8,1
2010,2,11,曇時々晴,8,1,晴時々曇,8,1
2010,2,12,雨時々曇,8,1,曇一時雨,8,1
2010,2,13,曇,8,1,曇一時雨,8,1
2010,2,14,曇時々晴一時雨,8,1,曇一時晴,8,1
2010,2,15,曇時々晴一時雨,8,1,曇時々雨,8,1
2010,2,16,曇一時雨,8,1,曇後時々雨,8,1
2010,2,17,雨時々曇,8,1,雨時々曇,8,1
2010,2,18,曇一時雨,8,1,曇一時雨,8,1
2010,2,19,雨一時曇,8,1,曇時々雨,8,1
2010,2,20,晴,8,1,雨時々曇一時晴,8,1
2010,2,21,晴,8,1,晴,8,1
2010,2,22,曇時々雨,8,1,晴後時々曇,8,1
2010,2,23,晴,8,1,大雨後晴、雷を伴う,8,1
2010,2,24,晴,8,1,晴,8,1
2010,2,25,晴,8,1,晴一時雨,8,1
2010,2,26,晴後曇,8,1,晴,8,1
2010,2,27,曇一時雨,8,1,曇後雨,8,1
2010,2,28,晴,8,1,晴後一時曇,8,1
2010,3,1,曇,8,1,晴時々曇,8,1
2010,3,2,曇時々晴一時雨,8,1,曇時々晴,8,1
2010,3,3,晴一時曇,8,1,晴一時曇,8,1
2010,3,4,晴後一時曇,8,1,晴後一時曇,8,1
