ダウンロードした時刻：2019/01/25 17:07:54

,,,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2001,1,1,晴,8,1,晴,8,1
2001,1,2,晴,8,1,晴一時曇,8,1
2001,1,3,晴時々曇一時雨,8,1,晴,8,1
2001,1,4,曇後晴,8,1,晴後曇,8,1
2001,1,5,晴後曇一時雨,8,1,晴一時曇,8,1
2001,1,6,曇一時雨,8,1,曇,8,1
2001,1,7,大雨,8,1,曇一時雨,8,1
2001,1,8,晴後曇一時雨,8,1,晴時々曇一時雨,8,1
2001,1,9,雨時々曇,8,1,曇時々雨,8,1
2001,1,10,曇時々雨,8,1,雨時々曇,8,1
2001,1,11,雨一時曇,8,1,雨一時曇,8,1
2001,1,12,晴一時曇,8,1,晴一時曇,8,1
2001,1,13,曇時々晴一時雨,8,1,曇時々晴後雨,8,1
2001,1,14,曇時々晴一時雨,8,1,晴時々曇一時雨,8,1
2001,1,15,曇時々晴一時雨,8,1,曇時々晴一時雨,8,1
2001,1,16,晴時々曇,8,1,晴一時雨,8,1
2001,1,17,晴,8,1,晴時々曇,8,1
2001,1,18,晴時々曇一時雨,8,1,晴一時雨,8,1
2001,1,19,晴,8,1,晴,8,1
2001,1,20,晴時々曇一時雨,8,1,晴一時曇,8,1
2001,1,21,曇,8,1,晴後曇,8,1
2001,1,22,晴,8,1,曇時々晴,8,1
2001,1,23,晴後時々曇,8,1,晴後曇,8,1
2001,1,24,曇時々雨一時晴,8,1,晴一時曇,8,1
2001,1,25,曇時々晴後雨、雷を伴う,8,1,曇時々晴,8,1
2001,1,26,雨時々曇,8,1,雨時々曇一時晴,8,1
2001,1,27,晴一時曇,8,1,晴時々曇,8,1
2001,1,28,曇一時雨,8,1,曇一時雨,8,1
2001,1,29,曇後晴,8,1,曇一時雨,8,1
2001,1,30,晴一時曇,8,1,晴,8,1
2001,1,31,曇一時晴,8,1,晴,8,1
2001,2,1,雨後時々曇,8,1,雨一時曇,8,1
2001,2,2,曇時々雨,8,1,曇一時雨,8,1
2001,2,3,曇時々晴,8,1,曇一時雨,8,1
2001,2,4,曇時々晴,8,1,曇時々晴,8,1
2001,2,5,晴,8,1,晴一時曇,8,1
2001,2,6,晴後時々曇,8,1,晴後時々曇,8,1
2001,2,7,晴一時雨,8,1,晴,8,1
2001,2,8,曇,8,1,曇一時雨,8,1
2001,2,9,曇,8,1,曇一時雨,8,1
2001,2,10,雨,8,1,雨時々曇,8,1
2001,2,11,曇一時雨,8,1,雨後曇,8,1
2001,2,12,曇一時雨,8,1,雨時々曇,8,1
2001,2,13,晴後雨,8,1,曇一時雨後晴,8,1
2001,2,14,曇,8,1,曇時々雨,8,1
2001,2,15,晴,8,1,晴一時曇,8,1
2001,2,16,晴後曇,8,1,晴,8,1
2001,2,17,曇一時晴,8,1,曇,8,1
2001,2,18,晴,8,1,曇一時晴,8,1
2001,2,19,晴,8,1,晴,8,1
2001,2,20,晴,8,1,晴,8,1
2001,2,21,雨時々曇,8,1,晴時々曇,8,1
2001,2,22,曇,8,1,曇一時雨,8,1
2001,2,23,雨時々曇,8,1,雨一時曇,8,1
2001,2,24,曇時々晴一時雨,8,1,雨一時曇,8,1
2001,2,25,曇後晴,8,1,曇,8,1
2001,2,26,曇一時雨,8,1,晴後曇,8,1
2001,2,27,快晴,8,1,晴,8,1
2001,2,28,大雨,8,1,快晴,8,1
2001,3,1,晴一時曇,8,1,雨,8,1
2001,3,2,晴一時曇,8,1,晴一時曇,8,1
2001,3,3,晴後曇一時雨,8,1,晴一時曇,8,1
2001,3,4,晴時々曇,8,1,曇後時々晴,8,1
