ダウンロードした時刻：2019/01/25 17:08:54

,,,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2011,1,1,晴時々雨,8,1,晴時々雨,8,1
2011,1,2,晴一時雨,8,1,曇時々雨,8,1
2011,1,3,曇時々雨,8,1,曇時々晴,8,1
2011,1,4,曇後晴,8,1,曇時々晴,8,1
2011,1,5,晴,8,1,晴,8,1
2011,1,6,曇時々雨,8,1,晴後曇一時雨,8,1
2011,1,7,曇後時々晴,8,1,曇一時雨,8,1
2011,1,8,晴,8,1,晴,8,1
2011,1,9,曇一時雨,8,1,快晴,8,1
2011,1,10,曇,8,1,曇一時雨,8,1
2011,1,11,曇時々雨,8,1,曇一時晴,8,1
2011,1,12,曇一時雨,8,1,曇時々雨,8,1
2011,1,13,晴一時曇,8,1,曇,8,1
2011,1,14,曇一時晴,8,1,晴時々曇,8,1
2011,1,15,曇時々雨,8,1,雨時々曇,8,1
2011,1,16,晴時々雨,8,1,曇時々雨一時晴,8,1
2011,1,17,曇時々晴,8,1,曇一時雨,8,1
2011,1,18,曇後時々雨,8,1,曇,8,1
2011,1,19,晴,8,1,曇一時雨,8,1
2011,1,20,曇時々雨,8,1,晴一時曇,8,1
2011,1,21,曇時々雨,8,1,雨一時曇,8,1
2011,1,22,曇後時々晴,8,1,曇時々晴一時雨,8,1
2011,1,23,晴,8,1,曇一時晴,8,1
2011,1,24,曇時々晴,8,1,曇一時雨,8,1
2011,1,25,曇時々晴,8,1,晴後一時曇,8,1
2011,1,26,曇一時雨,8,1,晴一時曇,8,1
2011,1,27,晴時々曇,8,1,晴時々曇,8,1
2011,1,28,曇時々雨,8,1,曇後一時雨,8,1
2011,1,29,雨時々曇,8,1,曇一時雨,8,1
2011,1,30,曇時々雨,8,1,曇時々雨,8,1
2011,1,31,晴一時雨,8,1,晴,8,1
2011,2,1,曇後晴,8,1,晴後曇一時雨,8,1
2011,2,2,晴,8,1,晴,8,1
2011,2,3,晴一時曇,8,1,晴,8,1
2011,2,4,晴,8,1,晴,8,1
2011,2,5,晴一時曇,8,1,晴,8,1
2011,2,6,晴一時曇,8,1,晴,8,1
2011,2,7,晴後曇,8,1,晴,8,1
2011,2,8,晴一時曇,8,1,晴時々曇,8,1
2011,2,9,晴,8,1,晴,8,1
2011,2,10,曇時々晴一時雨,8,1,晴時々曇,8,1
2011,2,11,曇時々晴一時雨,8,1,曇時々晴一時雨,8,1
2011,2,12,曇,8,1,曇時々晴,8,1
2011,2,13,晴一時曇,8,1,曇後晴,8,1
2011,2,14,雨一時曇,8,1,晴一時曇,8,1
2011,2,15,曇,8,1,曇時々雨,8,1
2011,2,16,晴時々曇,8,1,曇時々晴,8,1
2011,2,17,曇時々雨一時晴,8,1,晴一時曇,8,1
2011,2,18,曇一時雨,8,1,曇後雨,8,1
2011,2,19,曇時々晴,8,1,曇一時雨,8,1
2011,2,20,曇時々雨一時晴,8,1,晴後一時曇,8,1
2011,2,21,晴,8,1,晴,8,1
2011,2,22,晴,8,1,晴,8,1
2011,2,23,晴一時雨,8,1,晴,8,1
2011,2,24,晴,8,1,晴,8,1
2011,2,25,晴,8,1,晴,8,1
2011,2,26,曇一時雨,8,1,晴一時曇,8,1
2011,2,27,晴,8,1,晴一時曇,8,1
2011,2,28,晴,8,1,晴一時曇,8,1
2011,3,1,曇一時雨,8,1,晴時々曇,8,1
2011,3,2,曇後時々雨,8,1,曇,8,1
2011,3,3,曇一時雨,8,1,曇,8,1
2011,3,4,晴時々曇一時雨,8,1,曇時々晴,8,1
2011,3,5,曇後一時晴,8,1,晴時々曇,8,1
2011,3,6,晴,8,1,晴,8,1
