ダウンロードした時刻：2019/01/25 17:09:14

,,,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2015,1,1,曇後一時晴,8,1,晴後時々曇,8,1
2015,1,2,曇,8,1,曇後一時晴,8,1
2015,1,3,晴一時曇,8,1,曇後時々晴,8,1
2015,1,4,晴,8,1,晴,8,1
2015,1,5,曇時々晴,8,1,晴,8,1
2015,1,6,晴時々曇一時雨,8,1,晴,8,1
2015,1,7,曇時々雨,8,1,曇時々晴,8,1
2015,1,8,曇時々晴,8,1,曇時々雨一時晴,8,1
2015,1,9,曇時々晴,8,1,曇時々晴,8,1
2015,1,10,晴,8,1,曇時々晴,8,1
2015,1,11,晴,8,1,晴一時曇,8,1
2015,1,12,曇時々晴,8,1,晴時々曇,8,1
2015,1,13,曇,8,1,曇時々晴,8,1
2015,1,14,晴時々曇一時雨,8,1,曇時々晴,8,1
2015,1,15,晴時々曇,8,1,晴一時曇,8,1
2015,1,16,曇時々晴,8,1,晴時々曇,8,1
2015,1,17,曇後時々晴,8,1,曇時々晴,8,1
2015,1,18,曇,8,1,曇一時晴,8,1
2015,1,19,曇,8,1,曇,8,1
2015,1,20,雨時々曇,8,1,曇,8,1
2015,1,21,雨,8,1,雨一時曇,8,1
2015,1,22,曇時々晴一時雨,8,1,晴時々曇一時雨,8,1
2015,1,23,晴時々曇,8,1,晴時々曇,8,1
2015,1,24,晴時々曇,8,1,晴,8,1
2015,1,25,曇後晴,8,1,晴時々曇,8,1
2015,1,26,快晴,8,1,晴,8,1
2015,1,27,曇後時々雨,8,1,晴後曇時々雨,8,1
2015,1,28,曇後雨,8,1,雨一時曇,8,1
2015,1,29,曇時々雨一時晴,8,1,雨時々曇,8,1
2015,1,30,曇一時雨,8,1,晴時々曇,8,1
2015,1,31,曇一時晴,8,1,曇,8,1
2015,2,1,曇時々晴,8,1,曇後晴,8,1
2015,2,2,曇,8,1,曇,8,1
2015,2,3,曇時々晴一時雨,8,1,曇一時晴,8,1
2015,2,4,曇時々雨,8,1,晴後曇一時雨,8,1
2015,2,5,曇時々雨,8,1,曇一時晴,8,1
2015,2,6,曇時々晴,8,1,曇時々晴,8,1
2015,2,7,晴,8,1,晴時々曇,8,1
2015,2,8,雨後時々曇,8,1,曇後雨,8,1
2015,2,9,晴時々曇,8,1,曇,8,1
2015,2,10,曇時々晴一時雨,8,1,晴,8,1
2015,2,11,晴時々曇,8,1,晴時々曇一時雨,8,1
2015,2,12,晴時々曇,8,1,雨時々曇,8,1
2015,2,13,晴,8,1,晴,8,1
2015,2,14,快晴,8,1,晴,8,1
2015,2,15,晴時々曇,8,1,晴,8,1
2015,2,16,晴時々曇一時雨,8,1,曇時々晴,8,1
2015,2,17,晴,8,1,晴,8,1
2015,2,18,晴,8,1,晴,8,1
2015,2,19,晴時々曇,8,1,晴,8,1
2015,2,20,曇時々晴,8,1,曇時々晴,8,1
2015,2,21,晴後時々曇,8,1,晴,8,1
2015,2,22,快晴,8,1,曇後晴,8,1
2015,2,23,晴時々曇,8,1,晴時々曇,8,1
2015,2,24,曇時々晴一時雨,8,1,曇後一時雨,8,1
2015,2,25,晴時々曇,8,1,晴時々曇,8,1
2015,2,26,晴後曇一時雨,8,1,晴一時曇,8,1
2015,2,27,曇,8,1,晴時々曇,8,1
2015,2,28,曇,8,1,曇時々晴,8,1
2015,3,1,曇一時雨,8,1,曇時々晴一時雨,8,1
2015,3,2,晴一時曇,8,1,曇時々雨一時晴,8,1
2015,3,3,曇時々晴一時雨,8,1,晴時々曇,8,1
2015,3,4,曇時々雨,8,1,曇一時雨,8,1
