ダウンロードした時刻：2019/01/25 17:08:59

,,,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2012,1,1,晴時々曇一時雨,8,1,曇時々雨,8,1
2012,1,2,晴時々曇,8,1,晴時々曇,8,1
2012,1,3,曇時々晴,8,1,晴,8,1
2012,1,4,曇時々雨,8,1,曇時々雨一時晴,8,1
2012,1,5,曇時々雨,8,1,曇時々晴一時雨,8,1
2012,1,6,雨時々曇,8,1,曇一時晴,8,1
2012,1,7,曇時々晴一時雨,8,1,曇時々雨,8,1
2012,1,8,曇一時雨,8,1,晴一時雨,8,1
2012,1,9,曇時々晴,8,1,曇時々晴,8,1
2012,1,10,雨時々曇,8,1,曇後一時雨,8,1
2012,1,11,曇,8,1,曇,8,1
2012,1,12,曇,8,1,曇,8,1
2012,1,13,曇時々晴,8,1,曇,8,1
2012,1,14,晴時々曇,8,1,曇時々晴,8,1
2012,1,15,晴時々曇,8,1,曇時々晴一時雨,8,1
2012,1,16,曇時々雨,8,1,晴時々曇一時雨,8,1
2012,1,17,晴後時々曇,8,1,曇時々晴,8,1
2012,1,18,晴,8,1,曇時々晴,8,1
2012,1,19,晴時々曇,8,1,晴後一時曇,8,1
2012,1,20,晴時々曇,8,1,晴後時々曇,8,1
2012,1,21,晴一時曇,8,1,晴,8,1
2012,1,22,曇時々雨,8,1,晴時々曇一時雨,8,1
2012,1,23,曇時々晴一時雨,8,1,雨時々曇,8,1
2012,1,24,曇時々雨,8,1,曇時々晴,8,1
2012,1,25,晴時々曇,8,1,雨時々曇,8,1
2012,1,26,晴時々曇,8,1,晴,8,1
2012,1,27,曇時々雨一時晴,8,1,晴時々曇,8,1
2012,1,28,晴時々曇,8,1,雨時々晴,8,1
2012,1,29,晴時々雨一時曇,8,1,晴,8,1
2012,1,30,曇時々雨,8,1,晴後時々雨,8,1
2012,1,31,晴時々雨一時曇,8,1,晴時々曇,8,1
2012,2,1,晴一時曇,8,1,晴一時曇,8,1
2012,2,2,曇時々雨,8,1,曇時々晴一時雨,8,1
2012,2,3,曇後時々晴,8,1,曇時々雨,8,1
2012,2,4,晴一時曇,8,1,晴時々曇,8,1
2012,2,5,晴一時曇,8,1,晴,8,1
2012,2,6,晴時々曇,8,1,晴,8,1
2012,2,7,曇時々雨,8,1,晴時々雨,8,1
2012,2,8,曇時々雨,8,1,曇時々雨,8,1
2012,2,9,晴時々曇,8,1,曇時々雨,8,1
2012,2,10,晴時々曇,8,1,晴,8,1
2012,2,11,曇時々晴一時雨,8,1,晴時々曇一時雨,8,1
2012,2,12,晴時々曇,8,1,曇時々晴一時雨,8,1
2012,2,13,晴時々曇,8,1,晴時々曇,8,1
2012,2,14,晴,8,1,晴,8,1
2012,2,15,晴,8,1,晴,8,1
2012,2,16,曇時々雨,8,1,曇時々雨,8,1
2012,2,17,雨一時曇,8,1,曇時々雨,8,1
2012,2,18,曇時々雨一時晴,8,1,曇後時々雨,8,1
2012,2,19,曇一時雨,8,1,曇時々雨,8,1
2012,2,20,曇一時雨,8,1,曇,8,1
2012,2,21,雨時々曇,8,1,曇一時雨,8,1
2012,2,22,曇時々雨一時晴,8,1,曇時々雨,8,1
2012,2,23,晴時々雨,8,1,雨後時々曇、大風・雷を伴う,8,1
2012,2,24,雨時々曇一時晴,8,1,曇時々雨一時晴,8,1
2012,2,25,雨時々曇,8,1,曇時々雨,8,1
2012,2,26,曇時々雨,8,1,曇後時々雨,8,1
2012,2,27,曇時々晴,8,1,曇時々晴一時雨,8,1
2012,2,28,曇時々雨一時晴、雷を伴う,8,1,曇時々晴,8,1
